epoch,checkpoint_file,checkpoint_path,checkpoint_exists,evaluated,temperature_T,tau_r995,tau_r990,spec_at_r995,spec_at_r990,prec_at_r990,ptr_at_r990
105,epoch_105.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot\yolo11m_gate2_formal_bucket_c_q1_200ep\weights\epoch_105.pt,1,1,3.13631,0.19,0.32,0.345238,0.547619,0.9163,0.900794
106,epoch_106.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot\yolo11m_gate2_formal_bucket_c_q1_200ep\weights\epoch_106.pt,1,1,3.12201,0.22,0.32,0.392857,0.511905,0.910284,0.906746
107,epoch_107.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot\yolo11m_gate2_formal_bucket_c_q1_200ep\weights\epoch_107.pt,1,1,3.145339,0.25,0.35,0.452381,0.559524,0.918322,0.89881
108,epoch_108.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot\yolo11m_gate2_formal_bucket_c_q1_200ep\weights\epoch_108.pt,1,1,3.11245,0.27,0.31,0.511905,0.535714,0.914474,0.904762
109,epoch_109.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot\yolo11m_gate2_formal_bucket_c_q1_200ep\weights\epoch_109.pt,1,1,3.191863,0.35,0.35,0.559524,0.559524,0.918681,0.902778
110,epoch_110.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot\yolo11m_gate2_formal_bucket_c_q1_200ep\weights\epoch_110.pt,1,1,3.215667,0.29,0.42,0.5,0.571429,0.920354,0.896825
111,epoch_111.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot\yolo11m_gate2_formal_bucket_c_q1_200ep\weights\epoch_111.pt,1,1,3.167344,0.32,0.36,0.488095,0.535714,0.914286,0.902778
112,epoch_112.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot\yolo11m_gate2_formal_bucket_c_q1_200ep\weights\epoch_112.pt,1,1,3.111897,0.27,0.37,0.440476,0.559524,0.918322,0.89881
113,epoch_113.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot\yolo11m_gate2_formal_bucket_c_q1_200ep\weights\epoch_113.pt,1,1,3.202668,0.2,0.27,0.392857,0.47619,0.904555,0.914683
114,epoch_114.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot\yolo11m_gate2_formal_bucket_c_q1_200ep\weights\epoch_114.pt,1,1,3.123107,0.24,0.29,0.464286,0.488095,0.906318,0.910714
115,epoch_115.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot\yolo11m_gate2_formal_bucket_c_q1_200ep\weights\epoch_115.pt,1,1,3.061569,0.28,0.3,0.47619,0.488095,0.906522,0.912698
116,epoch_116.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot\yolo11m_gate2_formal_bucket_c_q1_200ep\weights\epoch_116.pt,1,1,3.005578,0.23,0.3,0.416667,0.488095,0.906318,0.910714
117,epoch_117.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot\yolo11m_gate2_formal_bucket_c_q1_200ep\weights\epoch_117.pt,1,1,2.966547,0.17,0.26,0.309524,0.47619,0.904348,0.912698
118,epoch_118.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot\yolo11m_gate2_formal_bucket_c_q1_200ep\weights\epoch_118.pt,1,1,3.050337,0.16,0.29,0.321429,0.5,0.908297,0.90873
