oof_fold,human_fold,epoch,checkpoint_id,checkpoint_path,exists,source
09,10,64,fold_09_epoch_064,C:\baidunetdiskdownload\stage1_oof_200epoch_fold_09_check\ssh\AI\runs\YOLOv11\stage1_oof_10fold\fold_09\full_yolo11l_cls_20260621-045150\weights\epoch63.pt,1,discovered
09,10,65,fold_09_epoch_065,C:\baidunetdiskdownload\stage1_oof_200epoch_fold_09_check\ssh\AI\runs\YOLOv11\stage1_oof_10fold\fold_09\full_yolo11l_cls_20260621-045150\weights\epoch64.pt,1,discovered
09,10,66,fold_09_epoch_066,C:\baidunetdiskdownload\stage1_oof_200epoch_fold_09_check\ssh\AI\runs\YOLOv11\stage1_oof_10fold\fold_09\full_yolo11l_cls_20260621-045150\weights\epoch65.pt,1,discovered
09,10,67,fold_09_epoch_067,C:\baidunetdiskdownload\stage1_oof_200epoch_fold_09_check\ssh\AI\runs\YOLOv11\stage1_oof_10fold\fold_09\full_yolo11l_cls_20260621-045150\weights\epoch66.pt,1,discovered
09,10,68,fold_09_epoch_068,C:\baidunetdiskdownload\stage1_oof_200epoch_fold_09_check\ssh\AI\runs\YOLOv11\stage1_oof_10fold\fold_09\full_yolo11l_cls_20260621-045150\weights\epoch67.pt,1,discovered
09,10,69,fold_09_epoch_069,C:\baidunetdiskdownload\stage1_oof_200epoch_fold_09_check\ssh\AI\runs\YOLOv11\stage1_oof_10fold\fold_09\full_yolo11l_cls_20260621-045150\weights\epoch68.pt,1,discovered
09,10,70,fold_09_epoch_070,C:\baidunetdiskdownload\stage1_oof_200epoch_fold_09_check\ssh\AI\runs\YOLOv11\stage1_oof_10fold\fold_09\full_yolo11l_cls_20260621-045150\weights\epoch69.pt,1,discovered
09,10,71,fold_09_epoch_071,C:\baidunetdiskdownload\stage1_oof_200epoch_fold_09_check\ssh\AI\runs\YOLOv11\stage1_oof_10fold\fold_09\full_yolo11l_cls_20260621-045150\weights\epoch70.pt,1,discovered
09,10,72,fold_09_epoch_072,C:\baidunetdiskdownload\stage1_oof_200epoch_fold_09_check\ssh\AI\runs\YOLOv11\stage1_oof_10fold\fold_09\full_yolo11l_cls_20260621-045150\weights\epoch71.pt,1,discovered
09,10,73,fold_09_epoch_073,C:\baidunetdiskdownload\stage1_oof_200epoch_fold_09_check\ssh\AI\runs\YOLOv11\stage1_oof_10fold\fold_09\full_yolo11l_cls_20260621-045150\weights\epoch72.pt,1,discovered
09,10,74,fold_09_epoch_074,C:\baidunetdiskdownload\stage1_oof_200epoch_fold_09_check\ssh\AI\runs\YOLOv11\stage1_oof_10fold\fold_09\full_yolo11l_cls_20260621-045150\weights\epoch73.pt,1,discovered
09,10,75,fold_09_epoch_075,C:\baidunetdiskdownload\stage1_oof_200epoch_fold_09_check\ssh\AI\runs\YOLOv11\stage1_oof_10fold\fold_09\full_yolo11l_cls_20260621-045150\weights\epoch74.pt,1,discovered
