epoch,checkpoint_file,checkpoint_path,checkpoint_exists,evaluated,accuracy,auroc,auprc
74,epoch73.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11m_cls6_formal_200ep\weights\epoch_074.pt,1,1,0.668056,0.936583,0.985355
75,epoch74.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11m_cls6_formal_200ep\weights\epoch_075.pt,1,1,0.673611,0.936278,0.984874
76,epoch75.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11m_cls6_formal_200ep\weights\epoch_076.pt,1,1,0.648611,0.938639,0.984539
77,epoch76.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11m_cls6_formal_200ep\weights\epoch_077.pt,1,1,0.675,0.942375,0.986049
78,epoch77.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11m_cls6_formal_200ep\weights\epoch_078.pt,1,1,0.665278,0.931028,0.982694
79,epoch78.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11m_cls6_formal_200ep\weights\epoch_079.pt,1,1,0.659722,0.934292,0.983602
80,epoch79.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11m_cls6_formal_200ep\weights\epoch_080.pt,1,1,0.661111,0.932986,0.98316
81,epoch80.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11m_cls6_formal_200ep\weights\epoch_081.pt,1,1,0.65,0.931875,0.982207
82,epoch81.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11m_cls6_formal_200ep\weights\epoch_082.pt,1,1,0.656944,0.926333,0.981679
83,epoch82.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11m_cls6_formal_200ep\weights\epoch_083.pt,1,1,0.661111,0.930653,0.982057
84,epoch83.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11m_cls6_formal_200ep\weights\epoch_084.pt,1,1,0.6625,0.926264,0.981152
85,epoch84.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11m_cls6_formal_200ep\weights\epoch_085.pt,1,1,0.670833,0.931819,0.982869
86,epoch85.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11m_cls6_formal_200ep\weights\epoch_086.pt,1,1,0.673611,0.939083,0.98529
87,epoch86.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11m_cls6_formal_200ep\weights\epoch_087.pt,1,1,0.675,0.939681,0.985357
88,epoch87.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11m_cls6_formal_200ep\weights\epoch_088.pt,1,1,0.665278,0.935569,0.984399
89,epoch88.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11m_cls6_formal_200ep\weights\epoch_089.pt,1,1,0.681944,0.938972,0.985327
90,epoch89.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11m_cls6_formal_200ep\weights\epoch_090.pt,1,1,0.665278,0.934667,0.983942
91,epoch90.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11m_cls6_formal_200ep\weights\epoch_091.pt,1,1,0.655556,0.92925,0.982531
92,epoch91.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11m_cls6_formal_200ep\weights\epoch_092.pt,1,1,0.676389,0.937375,0.984854
93,epoch92.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11m_cls6_formal_200ep\weights\epoch_093.pt,1,1,0.672222,0.936958,0.984599
94,epoch93.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11m_cls6_formal_200ep\weights\epoch_094.pt,1,1,0.679167,0.936903,0.984774
95,epoch94.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11m_cls6_formal_200ep\weights\epoch_095.pt,1,1,0.675,0.934986,0.984539
96,epoch95.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11m_cls6_formal_200ep\weights\epoch_096.pt,1,1,0.680556,0.939361,0.985564
97,epoch96.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11m_cls6_formal_200ep\weights\epoch_097.pt,1,1,0.676389,0.939042,0.9856
98,epoch97.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11m_cls6_formal_200ep\weights\epoch_098.pt,1,1,0.684722,0.93575,0.984338
99,epoch98.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11m_cls6_formal_200ep\weights\epoch_099.pt,1,1,0.680556,0.936694,0.984734
100,epoch99.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11m_cls6_formal_200ep\weights\epoch_100.pt,1,1,0.675,0.941042,0.985937
101,epoch100.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11m_cls6_formal_200ep\weights\epoch_101.pt,1,1,0.663889,0.940917,0.985758
102,epoch101.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11m_cls6_formal_200ep\weights\epoch_102.pt,1,1,0.677778,0.937069,0.984502
