epoch,epoch_gap_group,row_count,normal_count,defect_count,normal_q68,normal_q90,normal_mean,defect_q50,defect_q05,defect_mean,gap_q68_q050,tail_gap_q90_q05
76,middle,120000,60000,60000,0.0601497516,0.4316039979,0.1198681502,0.9849590063,0.2897954881,0.8918284360,0.9248092547,-0.1418085098
77,middle,120000,60000,60000,0.0590590872,0.4304745495,0.1195444901,0.9855426550,0.2900585830,0.8929015550,0.9264835678,-0.1404159665
78,middle,120000,60000,60000,0.0579076670,0.4309390783,0.1189817053,0.9860121608,0.2903928459,0.8938087758,0.9281044938,-0.1405462324
79,middle,120000,60000,60000,0.0564453490,0.4303954244,0.1183974169,0.9865601063,0.2908352911,0.8946851462,0.9301147573,-0.1395601333
80,middle,120000,60000,60000,0.0555502512,0.4305367470,0.1181971772,0.9870405793,0.2954554558,0.8957975746,0.9314903281,-0.1350812912
81,middle,120000,60000,60000,0.0550135262,0.4325070977,0.1182805489,0.9874659181,0.2971118093,0.8968898909,0.9324523919,-0.1353952884
82,middle,120000,60000,60000,0.0544953085,0.4334273636,0.1182920349,0.9880157113,0.2989460528,0.8979978973,0.9335204028,-0.1344813108
83,middle,120000,60000,60000,0.0535386465,0.4323028624,0.1178399311,0.9884589314,0.3003341556,0.8987785716,0.9349202849,-0.1319687068
84,middle,120000,60000,60000,0.0524394624,0.4307619333,0.1172443381,0.9888824821,0.3028964102,0.8994494334,0.9364430197,-0.1278655231
85,middle,120000,60000,60000,0.0513981879,0.4291525483,0.1166714048,0.9892241359,0.3021796346,0.9000511051,0.9378259480,-0.1269729137
86,middle,120000,60000,60000,0.0506018214,0.4297564626,0.1165564259,0.9896258712,0.3027454615,0.9010900353,0.9390240498,-0.1270110011
87,middle,120000,60000,60000,0.0499299020,0.4322218597,0.1165227014,0.9901148081,0.3054150343,0.9022193910,0.9401849061,-0.1268068254
88,middle,120000,60000,60000,0.0491143316,0.4332441092,0.1164397933,0.9905173182,0.3077774346,0.9032567267,0.9414029866,-0.1254666746
89,middle,120000,60000,60000,0.0482237674,0.4337497354,0.1161517183,0.9908424616,0.3107512891,0.9041155952,0.9426186942,-0.1229984463
90,middle,120000,60000,60000,0.0472877957,0.4337953627,0.1157320370,0.9911298752,0.3135736883,0.9048431486,0.9438420795,-0.1202216744
91,middle,120000,60000,60000,0.0465013832,0.4321039021,0.1154097669,0.9914441705,0.3150765300,0.9056025788,0.9449427873,-0.1170273721
92,middle,120000,60000,60000,0.0455113500,0.4314277172,0.1151657607,0.9917410612,0.3168604076,0.9064540086,0.9462297112,-0.1145673096
93,middle,120000,60000,60000,0.0445103571,0.4306255579,0.1148064267,0.9920502305,0.3166617751,0.9072341512,0.9475398734,-0.1139637828
94,middle,120000,60000,60000,0.0436754525,0.4286640882,0.1143180149,0.9922858477,0.3185220063,0.9078085588,0.9486103952,-0.1101420819
95,middle,120000,60000,60000,0.0424398333,0.4262671471,0.1136007823,0.9925422668,0.3192701638,0.9082517530,0.9501024335,-0.1069969833
96,middle,120000,60000,60000,0.0412259176,0.4240325391,0.1128747661,0.9927834272,0.3195506930,0.9087032272,0.9515575096,-0.1044818461
97,middle,120000,60000,60000,0.0402724855,0.4214180410,0.1123621073,0.9930546880,0.3195496798,0.9092797813,0.9527822025,-0.1018683612
98,middle,120000,60000,60000,0.0393897668,0.4213695228,0.1120374513,0.9932835102,0.3233845234,0.9100065224,0.9538937434,-0.0979849994
99,middle,120000,60000,60000,0.0383833162,0.4169424772,0.1114578003,0.9935384393,0.3239882588,0.9105484226,0.9551551231,-0.0929542184
100,middle,120000,60000,60000,0.0375969447,0.4188669324,0.1112833245,0.9938011765,0.3278484046,0.9114512369,0.9562042318,-0.0910185278
101,middle,120000,60000,60000,0.0369558260,0.4183502793,0.1109192236,0.9939973354,0.3302346170,0.9120908124,0.9570415094,-0.0881156623
102,middle,120000,60000,60000,0.0357011370,0.4150679111,0.1101832173,0.9941707253,0.3311121166,0.9124429082,0.9584695883,-0.0839557945
103,middle,120000,60000,60000,0.0348540470,0.4130752087,0.1097737342,0.9943562150,0.3339928985,0.9130253977,0.9595021680,-0.0790823102
104,middle,120000,60000,60000,0.0339245349,0.4101689160,0.1091233054,0.9945440292,0.3338223100,0.9133740098,0.9606194943,-0.0763466060
