triad_id,phase,condition_slot,planned_method,planned_pool,budget,guard_ratio,training_seed,seed_index,arm,selection_seed,contract_sha256,requires_overlap_resolution,run_slot,entry_module
TRIAD_027,A,A09,Persistent-0.5-Clean,clean_normal,600,,1343723075,3,T,910944071,FA4050A76900C9F0D58F77606B977A5DD6AF671C43C87D113B66DDCBCCE936C3,False,RUN_079,scripts/stage1_gapvalue240/runs/run_079.py
TRIAD_027,A,A09,Persistent-0.5-Clean,clean_normal,600,,1343723075,3,R1,1007243751,FA4050A76900C9F0D58F77606B977A5DD6AF671C43C87D113B66DDCBCCE936C3,False,RUN_080,scripts/stage1_gapvalue240/runs/run_080.py
TRIAD_027,A,A09,Persistent-0.5-Clean,clean_normal,600,,1343723075,3,R2,1763983345,FA4050A76900C9F0D58F77606B977A5DD6AF671C43C87D113B66DDCBCCE936C3,False,RUN_081,scripts/stage1_gapvalue240/runs/run_081.py
TRIAD_028,A,A10,Persistent-0.5-Clean,clean_normal,3000,,1829910790,1,T,1866273215,FA4050A76900C9F0D58F77606B977A5DD6AF671C43C87D113B66DDCBCCE936C3,False,RUN_082,scripts/stage1_gapvalue240/runs/run_082.py
TRIAD_028,A,A10,Persistent-0.5-Clean,clean_normal,3000,,1829910790,1,R1,601849980,FA4050A76900C9F0D58F77606B977A5DD6AF671C43C87D113B66DDCBCCE936C3,False,RUN_083,scripts/stage1_gapvalue240/runs/run_083.py
TRIAD_028,A,A10,Persistent-0.5-Clean,clean_normal,3000,,1829910790,1,R2,1502981967,FA4050A76900C9F0D58F77606B977A5DD6AF671C43C87D113B66DDCBCCE936C3,False,RUN_084,scripts/stage1_gapvalue240/runs/run_084.py
TRIAD_029,A,A10,Persistent-0.5-Clean,clean_normal,3000,,1385197443,2,T,1866273215,FA4050A76900C9F0D58F77606B977A5DD6AF671C43C87D113B66DDCBCCE936C3,False,RUN_085,scripts/stage1_gapvalue240/runs/run_085.py
TRIAD_029,A,A10,Persistent-0.5-Clean,clean_normal,3000,,1385197443,2,R1,319051416,FA4050A76900C9F0D58F77606B977A5DD6AF671C43C87D113B66DDCBCCE936C3,False,RUN_086,scripts/stage1_gapvalue240/runs/run_086.py
TRIAD_029,A,A10,Persistent-0.5-Clean,clean_normal,3000,,1385197443,2,R2,1046730767,FA4050A76900C9F0D58F77606B977A5DD6AF671C43C87D113B66DDCBCCE936C3,False,RUN_087,scripts/stage1_gapvalue240/runs/run_087.py
TRIAD_030,A,A10,Persistent-0.5-Clean,clean_normal,3000,,1343723075,3,T,1866273215,FA4050A76900C9F0D58F77606B977A5DD6AF671C43C87D113B66DDCBCCE936C3,False,RUN_088,scripts/stage1_gapvalue240/runs/run_088.py
TRIAD_030,A,A10,Persistent-0.5-Clean,clean_normal,3000,,1343723075,3,R1,1033182400,FA4050A76900C9F0D58F77606B977A5DD6AF671C43C87D113B66DDCBCCE936C3,False,RUN_089,scripts/stage1_gapvalue240/runs/run_089.py
TRIAD_030,A,A10,Persistent-0.5-Clean,clean_normal,3000,,1343723075,3,R2,1428457942,FA4050A76900C9F0D58F77606B977A5DD6AF671C43C87D113B66DDCBCCE936C3,False,RUN_090,scripts/stage1_gapvalue240/runs/run_090.py
TRIAD_031,A,A11,EndpointTrend,learnable_normal,600,,1829910790,1,T,1316342569,FA4050A76900C9F0D58F77606B977A5DD6AF671C43C87D113B66DDCBCCE936C3,False,RUN_091,scripts/stage1_gapvalue240/runs/run_091.py
TRIAD_031,A,A11,EndpointTrend,learnable_normal,600,,1829910790,1,R1,1287839902,FA4050A76900C9F0D58F77606B977A5DD6AF671C43C87D113B66DDCBCCE936C3,False,RUN_092,scripts/stage1_gapvalue240/runs/run_092.py
