discovery_or_confirmation,arm,epoch,run_count,top1_mean,top1_std,val_loss_mean,val_loss_std,train_loss_mean,top1,val_loss,series
confirmation,R1,101,5,0.927842,0.0008165635309025,0.1930919999999999,0.0013787298502607,0.2004039999999999,0.927842,0.1930919999999999,confirmation/R1
confirmation,R1,102,5,0.928224,0.0006794291721732,0.192924,0.0012809621383944,0.200228,0.928224,0.192924,confirmation/R1
confirmation,R1,103,5,0.928442,0.000707316053826,0.192448,0.0013334076645947,0.198808,0.928442,0.192448,confirmation/R1
confirmation,R1,104,5,0.928676,0.0007352169747768,0.192634,0.0013287678503034,0.198242,0.928676,0.192634,confirmation/R1
confirmation,R1,105,5,0.928886,0.0005596999195997,0.19214,0.0013763284491719,0.198238,0.928886,0.19214,confirmation/R1
confirmation,R1,106,5,0.928972,0.0005101921206761,0.192148,0.0013452048171189,0.197318,0.928972,0.192148,confirmation/R1
confirmation,R1,107,5,0.92914,0.0006705520114055,0.192116,0.0013081376074404,0.196206,0.92914,0.192116,confirmation/R1
confirmation,R1,108,5,0.92946,0.0005429180416968,0.191378,0.0011699641020133,0.194264,0.92946,0.191378,confirmation/R1
confirmation,R1,109,5,0.929532,0.0005282196512815,0.191472,0.0012296893916758,0.19431,0.929532,0.191472,confirmation/R1
confirmation,R1,110,5,0.92974,0.0005674856826387,0.19131,0.0012702440710351,0.193106,0.92974,0.19131,confirmation/R1
confirmation,R1,111,5,0.929968,0.0006006130201718,0.191138,0.0013145402238045,0.192606,0.929968,0.191138,confirmation/R1
confirmation,R1,112,5,0.930232,0.0005132406842798,0.191062,0.0013501022183523,0.1909,0.930232,0.191062,confirmation/R1
confirmation,R1,113,5,0.930424,0.000560770897961,0.1908599999999999,0.001439791651594,0.1913699999999999,0.930424,0.1908599999999999,confirmation/R1
confirmation,R1,114,5,0.930562,0.0004750326304581,0.190802,0.0013427196282172,0.1904239999999999,0.930562,0.190802,confirmation/R1
confirmation,R1,115,5,0.930992,0.0004797666099261,0.190558,0.0013220196670246,0.188194,0.930992,0.190558,confirmation/R1
confirmation,R1,116,5,0.93125,0.0004220426518729,0.1899759999999999,0.0014117166854578,0.188284,0.93125,0.1899759999999999,confirmation/R1
confirmation,R1,117,5,0.931424,0.0007611202270338,0.189906,0.001475636811685,0.187436,0.931424,0.189906,confirmation/R1
confirmation,R1,118,5,0.931592,0.0008023066745328,0.190094,0.001527738197467,0.185992,0.931592,0.190094,confirmation/R1
confirmation,R1,119,5,0.931858,0.000586937816127,0.189718,0.0015374576416929,0.185314,0.931858,0.189718,confirmation/R1
confirmation,R1,120,5,0.931942,0.0006225560215755,0.189828,0.0016018788967958,0.184006,0.931942,0.189828,confirmation/R1
confirmation,R1,121,5,0.932266,0.000564609599635,0.189442,0.0015865106365858,0.18342,0.932266,0.189442,confirmation/R1
confirmation,R1,122,5,0.9324,0.0008181197956289,0.189348,0.0016019288373707,0.18237,0.9324,0.189348,confirmation/R1
confirmation,R1,123,5,0.932374,0.00074368272805,0.189104,0.0014063370861923,0.1818519999999999,0.932374,0.189104,confirmation/R1
confirmation,R1,124,5,0.932732,0.0009093602146564,0.189526,0.0012212223384789,0.181118,0.932732,0.189526,confirmation/R1
confirmation,R1,125,5,0.933058,0.0009680371893682,0.189016,0.0012776321849421,0.178894,0.933058,0.189016,confirmation/R1
confirmation,R1,126,5,0.933434,0.0009018558643153,0.188838,0.0013275451028119,0.178356,0.933434,0.188838,confirmation/R1
confirmation,R1,127,5,0.933726,0.0009578016496122,0.1884819999999999,0.0012112043593052,0.177118,0.933726,0.1884819999999999,confirmation/R1
confirmation,R1,128,5,0.93405,0.0009285041733885,0.188356,0.001137217657267,0.176814,0.93405,0.188356,confirmation/R1
confirmation,R1,129,5,0.934276,0.0007459383352529,0.188076,0.0011913286700151,0.175254,0.934276,0.188076,confirmation/R1
confirmation,R1,130,5,0.934432,0.0008149453969438,0.188086,0.0013345201384767,0.174394,0.934432,0.188086,confirmation/R1
confirmation,R1,131,5,0.934716,0.0007452409006489,0.187862,0.0013429579293484,0.172708,0.934716,0.187862,confirmation/R1
confirmation,R1,132,5,0.935002,0.0006672750557303,0.187352,0.0014546669721967,0.172182,0.935002,0.187352,confirmation/R1
confirmation,R1,133,5,0.935402,0.000645550927503,0.187492,0.0014735046657544,0.170504,0.935402,0.187492,confirmation/R1
confirmation,R1,134,5,0.93564,0.0007262781836183,0.186954,0.0015702305563196,0.169512,0.93564,0.186954,confirmation/R1
confirmation,R1,135,5,0.935826,0.000806141426798,0.187192,0.0016208072063018,0.1689999999999999,0.935826,0.187192,confirmation/R1
confirmation,R1,136,5,0.936074,0.0008420831312881,0.186894,0.0015853403420086,0.1672239999999999,0.936074,0.186894,confirmation/R1
confirmation,R1,137,5,0.936384,0.0006861661606345,0.186928,0.0015878085526914,0.166964,0.936384,0.186928,confirmation/R1
confirmation,R1,138,5,0.936526,0.0008569387376003,0.186892,0.0016470142683049,0.165696,0.936526,0.186892,confirmation/R1
confirmation,R1,139,5,0.936608,0.000852136139358,0.18704,0.001686961766016,0.163692,0.936608,0.18704,confirmation/R1
confirmation,R1,140,5,0.936792,0.0008170777196815,0.187004,0.0017002423356686,0.16197,0.936792,0.187004,confirmation/R1
confirmation,R1,141,5,0.9369,0.0008137075641776,0.1871999999999999,0.0016911771048592,0.161958,0.9369,0.1871999999999999,confirmation/R1
confirmation,R1,142,5,0.93725,0.0007801794665332,0.18757,0.0016894140996215,0.1600299999999999,0.93725,0.18757,confirmation/R1
confirmation,R1,143,5,0.937458,0.0007680989519586,0.187358,0.0016050844214557,0.158686,0.937458,0.187358,confirmation/R1
confirmation,R1,144,5,0.937558,0.000582559868168,0.187466,0.0016278648592558,0.1573739999999999,0.937558,0.187466,confirmation/R1
confirmation,R1,145,5,0.937792,0.0006349614161506,0.187766,0.0018128938192845,0.1555699999999999,0.937792,0.187766,confirmation/R1
confirmation,R1,146,5,0.937916,0.0007585143373727,0.187568,0.00192080608079,0.154828,0.937916,0.187568,confirmation/R1
confirmation,R1,147,5,0.938258,0.0007902252843335,0.187664,0.0021066808016403,0.153138,0.938258,0.187664,confirmation/R1
confirmation,R1,148,5,0.93861,0.0008543535567901,0.187768,0.0021716205930134,0.150714,0.93861,0.187768,confirmation/R1
confirmation,R1,149,5,0.938892,0.0009712960413797,0.18781,0.0023810921863716,0.150402,0.938892,0.18781,confirmation/R1
confirmation,R1,150,5,0.939076,0.0010605394853564,0.18792,0.0025622334007658,0.148706,0.939076,0.18792,confirmation/R1
confirmation,R1,151,5,0.939202,0.0010330421094998,0.188342,0.002570162640768,0.146364,0.939202,0.188342,confirmation/R1
confirmation,R1,152,5,0.939498,0.0010393921300452,0.188698,0.002462254251697,0.145366,0.939498,0.188698,confirmation/R1
confirmation,R1,153,5,0.939626,0.0008983228818191,0.188756,0.0023444197576372,0.144284,0.939626,0.188756,confirmation/R1
confirmation,R1,154,5,0.939618,0.0008995865717094,0.18914,0.0022634221877502,0.141598,0.939618,0.18914,confirmation/R1
confirmation,R1,155,5,0.939734,0.0011295060867476,0.189348,0.0023320068610533,0.139786,0.939734,0.189348,confirmation/R1
confirmation,R1,156,5,0.93999,0.0009435041070392,0.189788,0.0024107957192595,0.138176,0.93999,0.189788,confirmation/R1
confirmation,R1,157,5,0.940244,0.0008363396439246,0.190108,0.0023803310694103,0.13761,0.940244,0.190108,confirmation/R1
confirmation,R1,158,5,0.940366,0.0010838560790068,0.190286,0.0024745472313132,0.135778,0.940366,0.190286,confirmation/R1
confirmation,R1,159,5,0.940426,0.0009759836064197,0.190852,0.002549709003004,0.132722,0.940426,0.190852,confirmation/R1
confirmation,R1,160,5,0.940558,0.001095872255329,0.191806,0.0025269475657401,0.131644,0.940558,0.191806,confirmation/R1
confirmation,R1,161,5,0.9407,0.0009306127013962,0.191826,0.0026574243168903,0.12954,0.9407,0.191826,confirmation/R1
confirmation,R1,162,5,0.94089,0.0008645692569135,0.1923119999999999,0.0025401055096196,0.12727,0.94089,0.1923119999999999,confirmation/R1
confirmation,R1,163,5,0.941018,0.000971275450117,0.1926439999999999,0.0023935128994847,0.125092,0.941018,0.1926439999999999,confirmation/R1
confirmation,R1,164,5,0.94125,0.0009630160954002,0.193646,0.0023055810547452,0.124048,0.94125,0.193646,confirmation/R1
confirmation,R1,165,5,0.941492,0.0009237835244255,0.193994,0.0022843519868881,0.122652,0.941492,0.193994,confirmation/R1
confirmation,R1,166,5,0.941558,0.0010938811635639,0.194892,0.002044567435914,0.119404,0.941558,0.194892,confirmation/R1
confirmation,R1,167,5,0.941426,0.0011118381177131,0.195712,0.0019597897846452,0.11781,0.941426,0.195712,confirmation/R1
confirmation,R1,168,5,0.941366,0.001116702287989,0.19679,0.0017790109611803,0.1150239999999999,0.941366,0.19679,confirmation/R1
confirmation,R1,169,5,0.941336,0.0009976091418987,0.197562,0.0017264808136785,0.113408,0.941336,0.197562,confirmation/R1
confirmation,R1,170,5,0.941524,0.0010194626035318,0.198466,0.0016459963547954,0.111256,0.941524,0.198466,confirmation/R1
confirmation,R1,171,5,0.941542,0.0009048845230194,0.199566,0.0014627180179378,0.10906,0.941542,0.199566,confirmation/R1
confirmation,R1,172,5,0.941724,0.0008776468538084,0.2002959999999999,0.0014582811800198,0.1062419999999999,0.941724,0.2002959999999999,confirmation/R1
confirmation,R1,173,5,0.94195,0.0008794771173828,0.202032,0.0013467650129105,0.1036999999999999,0.94195,0.202032,confirmation/R1
confirmation,R1,174,5,0.942066,0.0009614281044363,0.202842,0.0013352213299674,0.1008739999999999,0.942066,0.202842,confirmation/R1
confirmation,R1,175,5,0.942184,0.0008873691452828,0.20418,0.0012231598423754,0.0991479999999999,0.942184,0.20418,confirmation/R1
confirmation,R1,176,5,0.942174,0.0008322643810713,0.205616,0.0010717947564715,0.095834,0.942174,0.205616,confirmation/R1
confirmation,R1,177,5,0.942294,0.0007847700300088,0.2072639999999999,0.0008508254815178,0.093816,0.942294,0.2072639999999999,confirmation/R1
confirmation,R1,178,5,0.942382,0.000769867521071,0.209118,0.0006771233270239,0.090822,0.942382,0.209118,confirmation/R1
confirmation,R1,179,5,0.942532,0.0005301848734168,0.2107139999999999,0.0005478905000088,0.088512,0.942532,0.2107139999999999,confirmation/R1
confirmation,R1,180,5,0.942616,0.0005313228773542,0.21217,0.0004945300799749,0.085368,0.942616,0.21217,confirmation/R1
confirmation,R1,181,5,0.942708,0.000533081607261,0.214148,0.0005599071351572,0.082962,0.942708,0.214148,confirmation/R1
confirmation,R1,182,5,0.942808,0.0005504688910374,0.21596,0.0005736898116578,0.07975,0.942808,0.21596,confirmation/R1
confirmation,R1,183,5,0.943058,0.0006073351628219,0.217528,0.0005117186727099,0.0781,0.943058,0.217528,confirmation/R1
confirmation,R1,184,5,0.943268,0.0004585804182474,0.219666,0.0005902745124092,0.074206,0.943268,0.219666,confirmation/R1
confirmation,R1,185,5,0.94341,0.0003874532229831,0.220986,0.0007990644529698,0.071218,0.94341,0.220986,confirmation/R1
confirmation,R1,186,5,0.943486,0.0003915916240166,0.222866,0.000870301097322,0.068634,0.943486,0.222866,confirmation/R1
confirmation,R1,187,5,0.943566,0.0004044057368534,0.225318,0.0008801681657501,0.0651119999999999,0.943566,0.225318,confirmation/R1
confirmation,R1,188,5,0.943748,0.0004413796551723,0.2276079999999999,0.0009681611436119,0.062538,0.943748,0.2276079999999999,confirmation/R1
confirmation,R1,189,5,0.94384,0.0002054263858417,0.230216,0.0009824581416019,0.059632,0.94384,0.230216,confirmation/R1
confirmation,R1,190,5,0.943892,0.0002164624678783,0.2326379999999999,0.0011549787876839,0.05666,0.943892,0.2326379999999999,confirmation/R1
confirmation,R1,191,5,0.943848,0.0002767236889028,0.235202,0.0013041687007438,0.053562,0.943848,0.235202,confirmation/R1
confirmation,R1,192,5,0.944106,0.0003773910438788,0.237988,0.001335580772548,0.050178,0.944106,0.237988,confirmation/R1
confirmation,R1,193,5,0.944192,0.0002796712355606,0.240996,0.0014350553996274,0.047358,0.944192,0.240996,confirmation/R1
confirmation,R1,194,5,0.944368,0.000284211189083,0.24325,0.0014620396711443,0.044762,0.944368,0.24325,confirmation/R1
confirmation,R1,195,5,0.94441,0.0003369866466197,0.246528,0.0015325977945958,0.042122,0.94441,0.246528,confirmation/R1
confirmation,R1,196,5,0.944382,0.0001957958120083,0.2488839999999999,0.0015924145188989,0.039552,0.944382,0.2488839999999999,confirmation/R1
confirmation,R1,197,5,0.944474,0.0003108440123277,0.251658,0.0015900616340255,0.036428,0.944474,0.251658,confirmation/R1
confirmation,R1,198,5,0.94465,0.0004336357918807,0.254332,0.0014103247852888,0.034606,0.94465,0.254332,confirmation/R1
confirmation,R1,199,5,0.944716,0.000365217743271,0.256696,0.0015052122773881,0.031804,0.944716,0.256696,confirmation/R1
confirmation,R1,200,5,0.944842,0.0004561315599692,0.259064,0.0015668260911792,0.029436,0.944842,0.259064,confirmation/R1
confirmation,R2,1,5,0.8995340000000001,0.0023245352223616,0.253774,0.0045314704015363,0.384832,0.8995340000000001,0.253774,confirmation/R2
confirmation,R2,2,5,0.905586,0.0077179157808309,0.23904,0.0148094307790677,0.266052,0.905586,0.23904,confirmation/R2
