triad_id,condition_slot,phase,budget,guard_ratio,control,scope,treatment_count,control_count,overlap_count,overlap_rate,jaccard,unique_to_treatment,unique_to_control,effective_unique_contrast
TRIAD_018,A06,A,3000,0.0,R2,all,3000,3000,2907,0.969,0.9398642095053348,93,93,0.031
TRIAD_018,A06,A,3000,0.0,R2,normal,3000,3000,2907,0.969,0.9398642095053348,93,93,0.031
TRIAD_018,A06,A,3000,0.0,R2,defect,0,0,0,,,0,0,
TRIAD_019,A07,A,600,0.0,R1,all,600,600,0,0.0,0.0,600,600,1.0
TRIAD_019,A07,A,600,0.0,R1,normal,600,600,0,0.0,0.0,600,600,1.0
TRIAD_019,A07,A,600,0.0,R1,defect,0,0,0,,,0,0,
TRIAD_019,A07,A,600,0.0,R2,all,600,600,64,0.1066666666666666,0.056338028169014,536,536,0.8933333333333333
TRIAD_019,A07,A,600,0.0,R2,normal,600,600,64,0.1066666666666666,0.056338028169014,536,536,0.8933333333333333
TRIAD_019,A07,A,600,0.0,R2,defect,0,0,0,,,0,0,
TRIAD_020,A07,A,600,0.0,R1,all,600,600,0,0.0,0.0,600,600,1.0
TRIAD_020,A07,A,600,0.0,R1,normal,600,600,0,0.0,0.0,600,600,1.0
TRIAD_020,A07,A,600,0.0,R1,defect,0,0,0,,,0,0,
TRIAD_020,A07,A,600,0.0,R2,all,600,600,87,0.145,0.0781671159029649,513,513,0.855
TRIAD_020,A07,A,600,0.0,R2,normal,600,600,87,0.145,0.0781671159029649,513,513,0.855
TRIAD_020,A07,A,600,0.0,R2,defect,0,0,0,,,0,0,
TRIAD_021,A07,A,600,0.0,R1,all,600,600,0,0.0,0.0,600,600,1.0
TRIAD_021,A07,A,600,0.0,R1,normal,600,600,0,0.0,0.0,600,600,1.0
TRIAD_021,A07,A,600,0.0,R1,defect,0,0,0,,,0,0,
TRIAD_021,A07,A,600,0.0,R2,all,600,600,92,0.1533333333333333,0.0830324909747292,508,508,0.8466666666666667
TRIAD_021,A07,A,600,0.0,R2,normal,600,600,92,0.1533333333333333,0.0830324909747292,508,508,0.8466666666666667
TRIAD_021,A07,A,600,0.0,R2,defect,0,0,0,,,0,0,
TRIAD_022,A08,A,3000,0.0,R1,all,3000,3000,0,0.0,0.0,3000,3000,1.0
TRIAD_022,A08,A,3000,0.0,R1,normal,3000,3000,0,0.0,0.0,3000,3000,1.0
TRIAD_022,A08,A,3000,0.0,R1,defect,0,0,0,,,0,0,
TRIAD_022,A08,A,3000,0.0,R2,all,3000,3000,2623,0.8743333333333333,0.7767249037607343,377,377,0.1256666666666666
TRIAD_022,A08,A,3000,0.0,R2,normal,3000,3000,2623,0.8743333333333333,0.7767249037607343,377,377,0.1256666666666666
TRIAD_022,A08,A,3000,0.0,R2,defect,0,0,0,,,0,0,
TRIAD_023,A08,A,3000,0.0,R1,all,3000,3000,0,0.0,0.0,3000,3000,1.0
TRIAD_023,A08,A,3000,0.0,R1,normal,3000,3000,0,0.0,0.0,3000,3000,1.0
TRIAD_023,A08,A,3000,0.0,R1,defect,0,0,0,,,0,0,
TRIAD_023,A08,A,3000,0.0,R2,all,3000,3000,2633,0.8776666666666667,0.782001782001782,367,367,0.1223333333333333
TRIAD_023,A08,A,3000,0.0,R2,normal,3000,3000,2633,0.8776666666666667,0.782001782001782,367,367,0.1223333333333333
TRIAD_023,A08,A,3000,0.0,R2,defect,0,0,0,,,0,0,
