phase,budget,training_seed,left_condition,right_condition,left_method,right_method,overlap_count,jaccard,left_overlap_rate,right_overlap_rate
A,3000,1343723075,A12,A15,EndpointTrend,GroupDiverse-Gap,1470,0.3245033112582781,0.49,0.49
A,3000,1343723075,A12,A16,EndpointTrend,GapResidual-Strict,1202,0.2505210504376823,0.4006666666666666,0.4006666666666666
A,3000,1343723075,A12,A17,EndpointTrend,WindowEarlyLate40,1603,0.3645667500568569,0.5343333333333333,0.5343333333333333
A,3000,1343723075,A12,A19,EndpointTrend,GapCritical-Strict-TimeMatched,1599,0.3633265167007498,0.533,0.533
A,3000,1343723075,A13,A14,BottomGap-3000-stress-control,FoldBalanced-Gap,0,0.0,0.0,0.0
A,3000,1343723075,A13,A15,BottomGap-3000-stress-control,GroupDiverse-Gap,0,0.0,0.0,0.0
A,3000,1343723075,A13,A16,BottomGap-3000-stress-control,GapResidual-Strict,26,0.004352192835621,0.0086666666666666,0.0086666666666666
A,3000,1343723075,A13,A17,BottomGap-3000-stress-control,WindowEarlyLate40,0,0.0,0.0,0.0
A,3000,1343723075,A13,A19,BottomGap-3000-stress-control,GapCritical-Strict-TimeMatched,19,0.0031767262999498,0.0063333333333333,0.0063333333333333
A,3000,1343723075,A14,A15,FoldBalanced-Gap,GroupDiverse-Gap,2191,0.5752165922814387,0.7303333333333333,0.7303333333333333
A,3000,1343723075,A14,A16,FoldBalanced-Gap,GapResidual-Strict,1431,0.3131976362442548,0.477,0.477
A,3000,1343723075,A14,A17,FoldBalanced-Gap,WindowEarlyLate40,2452,0.6910935738444194,0.8173333333333334,0.8173333333333334
A,3000,1343723075,A14,A19,FoldBalanced-Gap,GapCritical-Strict-TimeMatched,1970,0.488833746898263,0.6566666666666666,0.6566666666666666
A,3000,1343723075,A15,A16,GroupDiverse-Gap,GapResidual-Strict,1321,0.2823252831801667,0.4403333333333333,0.4403333333333333
A,3000,1343723075,A15,A17,GroupDiverse-Gap,WindowEarlyLate40,2050,0.5189873417721519,0.6833333333333333,0.6833333333333333
A,3000,1343723075,A15,A19,GroupDiverse-Gap,GapCritical-Strict-TimeMatched,1741,0.4087814040854661,0.5803333333333334,0.5803333333333334
A,3000,1343723075,A16,A17,GapResidual-Strict,WindowEarlyLate40,1032,0.2077294685990338,0.344,0.344
A,3000,1343723075,A16,A19,GapResidual-Strict,GapCritical-Strict-TimeMatched,1986,0.4947683109118087,0.662,0.662
A,3000,1343723075,A17,A19,WindowEarlyLate40,GapCritical-Strict-TimeMatched,1588,0.3599274705349048,0.5293333333333333,0.5293333333333333
A,3000,1385197443,A02,A04,GapCritical-Strict,GapCritical-Global,2854,0.9071837253655436,0.9513333333333334,0.9513333333333334
