condition_slot,condition_id,control,analysis_set,n,mean_delta_FN,std_delta_FN,worst_delta_FN,FN_one_sided_95_upper,safety_noninferior,strict_safety_improvement,mean_delta_TN,std_delta_TN,worst_delta_TN,TN_one_sided_95_lower,confirmed_TN_improvement,FN_win_rate,TN_win_rate,median_delta_TN,median_delta_FN,mean_delta_gap_q68_q050,std_delta_gap_q68_q050,median_delta_gap_q68_q050,mean_delta_tail_gap_q90_q05,std_delta_tail_gap_q90_q05,median_delta_tail_gap_q90_q05,mean_delta_normal_q68,std_delta_normal_q68,median_delta_normal_q68,mean_delta_normal_q90,std_delta_normal_q90,median_delta_normal_q90,mean_delta_defect_q50,std_delta_defect_q50,median_delta_defect_q50,mean_delta_defect_q05,std_delta_defect_q05,median_delta_defect_q05,exploratory
A13,A13_BottomGap-3000-stress-control_B3000,R2,no_resume,3,6.333333333333333,13.051181300301264,21.0,28.3357255477698,False,False,-578.6666666666666,1329.4082643542326,-2071.0,-2819.855519415182,False,0.3333333333333333,0.3333333333333333,-144.0,2.0,-0.0005246818759463,0.0014767793567888,-0.0009133218277225,-0.0098196560542168,0.0027444918307881,-0.0103445647755619,0.000563758378688,0.0011230655158485,0.0005646356504332,0.0010768464796558,0.0090641818404393,0.0059315909382562,3.907650274163436e-05,0.0015761129836429,-8.189084209353492e-05,-0.008742809574561,0.0112571790838515,-0.0036649607243987,True
A14,A14_FoldBalanced-Gap_B3000,R1,all,3,-0.6666666666666666,6.8068592855540455,7.0,10.808707424242774,False,True,-507.0,904.4755386410404,-1337.0,-2031.8141215450348,False,0.6666666666666666,0.3333333333333333,-641.0,-3.0,-0.0005634770384409,0.0013966974160431,-0.000479534330284,-0.0033499751642063,0.00846583198487,-0.0021254383134544,0.0008042756271407,0.0012925629379747,0.0014037985854227,-0.0011621084058798,0.0032827516995211,-0.0008134356792135,0.0002407985886997,0.0009096296334912,0.000110168978243,-0.0045120835700862,0.0072842117030866,-0.0067307176177836,True
A14,A14_FoldBalanced-Gap_B3000,R1,same_machine,3,-0.6666666666666666,6.8068592855540455,7.0,10.808707424242774,False,True,-507.0,904.4755386410404,-1337.0,-2031.8141215450348,False,0.6666666666666666,0.3333333333333333,-641.0,-3.0,-0.0005634770384409,0.0013966974160431,-0.000479534330284,-0.0033499751642063,0.00846583198487,-0.0021254383134544,0.0008042756271407,0.0012925629379747,0.0014037985854227,-0.0011621084058798,0.0032827516995211,-0.0008134356792135,0.0002407985886997,0.0009096296334912,0.000110168978243,-0.0045120835700862,0.0072842117030866,-0.0067307176177836,True
A14,A14_FoldBalanced-Gap_B3000,R1,no_resume,3,-0.6666666666666666,6.8068592855540455,7.0,10.808707424242774,False,True,-507.0,904.4755386410404,-1337.0,-2031.8141215450348,False,0.6666666666666666,0.3333333333333333,-641.0,-3.0,-0.0005634770384409,0.0013966974160431,-0.000479534330284,-0.0033499751642063,0.00846583198487,-0.0021254383134544,0.0008042756271407,0.0012925629379747,0.0014037985854227,-0.0011621084058798,0.0032827516995211,-0.0008134356792135,0.0002407985886997,0.0009096296334912,0.000110168978243,-0.0045120835700862,0.0072842117030866,-0.0067307176177836,True
A14,A14_FoldBalanced-Gap_B3000,R2,all,3,3.0,1.7320508075688772,5.0,5.919985580353725,False,False,-888.0,288.2204017761408,-1109.0,-1373.8976500414356,False,0.0,0.0,-993.0,2.0,0.0004348782105169,0.0020628836590499,0.0006335456899462,0.01311275659348,0.008792654504264,0.013360919708802,-0.0002895394023661,0.0020734275547718,5.581272411081528e-05,-0.0021802957653171,0.0049750469997784,-0.0040001168525882,0.0001453388081507,0.0004711513820632,-0.0001227180070372,0.0109324608281629,0.0042927026822758,0.0093608028562138,True
A14,A14_FoldBalanced-Gap_B3000,R2,same_machine,3,3.0,1.7320508075688772,5.0,5.919985580353725,False,False,-888.0,288.2204017761408,-1109.0,-1373.8976500414356,False,0.0,0.0,-993.0,2.0,0.0004348782105169,0.0020628836590499,0.0006335456899462,0.01311275659348,0.008792654504264,0.013360919708802,-0.0002895394023661,0.0020734275547718,5.581272411081528e-05,-0.0021802957653171,0.0049750469997784,-0.0040001168525882,0.0001453388081507,0.0004711513820632,-0.0001227180070372,0.0109324608281629,0.0042927026822758,0.0093608028562138,True
A14,A14_FoldBalanced-Gap_B3000,R2,no_resume,3,3.0,1.7320508075688772,5.0,5.919985580353725,False,False,-888.0,288.2204017761408,-1109.0,-1373.8976500414356,False,0.0,0.0,-993.0,2.0,0.0004348782105169,0.0020628836590499,0.0006335456899462,0.01311275659348,0.008792654504264,0.013360919708802,-0.0002895394023661,0.0020734275547718,5.581272411081528e-05,-0.0021802957653171,0.0049750469997784,-0.0040001168525882,0.0001453388081507,0.0004711513820632,-0.0001227180070372,0.0109324608281629,0.0042927026822758,0.0093608028562138,True
A15,A15_GroupDiverse-Gap_B3000,R1,all,3,3.0,12.767145334803704,17.0,24.52354891496141,False,False,-1586.0,2408.6450547974064,-4112.0,-5646.625010227392,False,0.3333333333333333,0.3333333333333333,-1331.0,0.0,-0.0005626029107361,0.0013982733763574,2.8693827028858365e-05,-0.0058727037869682,0.0093769407966992,-0.0105446142613455,0.000522694624193,0.0009533090831735,-2.10455774265067e-05,-0.0027688407481157,0.009399859433807,-0.0073034462173566,-3.9908286543136974e-05,0.0004740348368348,7.648249602310031e-06,-0.0086415445350839,0.0187089625210855,-0.0192993293620197,True
A15,A15_GroupDiverse-Gap_B3000,R1,same_machine,3,3.0,12.767145334803704,17.0,24.52354891496141,False,False,-1586.0,2408.6450547974064,-4112.0,-5646.625010227392,False,0.3333333333333333,0.3333333333333333,-1331.0,0.0,-0.0005626029107361,0.0013982733763574,2.8693827028858365e-05,-0.0058727037869682,0.0093769407966992,-0.0105446142613455,0.000522694624193,0.0009533090831735,-2.10455774265067e-05,-0.0027688407481157,0.009399859433807,-0.0073034462173566,-3.9908286543136974e-05,0.0004740348368348,7.648249602310031e-06,-0.0086415445350839,0.0187089625210855,-0.0192993293620197,True
A15,A15_GroupDiverse-Gap_B3000,R1,no_resume,3,3.0,12.767145334803704,17.0,24.52354891496141,False,False,-1586.0,2408.6450547974064,-4112.0,-5646.625010227392,False,0.3333333333333333,0.3333333333333333,-1331.0,0.0,-0.0005626029107361,0.0013982733763574,2.8693827028858365e-05,-0.0058727037869682,0.0093769407966992,-0.0105446142613455,0.000522694624193,0.0009533090831735,-2.10455774265067e-05,-0.0027688407481157,0.009399859433807,-0.0073034462173566,-3.9908286543136974e-05,0.0004740348368348,7.648249602310031e-06,-0.0086415445350839,0.0187089625210855,-0.0192993293620197,True
A15,A15_GroupDiverse-Gap_B3000,R2,all,3,2.0,6.928203230275509,6.0,13.679942321414895,False,False,-988.3333333333334,1909.357570842437,-2127.0,-4207.23231149014,False,0.3333333333333333,0.3333333333333333,-2054.0,6.0,-0.0008890476697472,0.0013189927960937,-0.0016446937218003,-0.0126018140951488,0.0044571201196686,-0.0116792507753102,0.0013483251003506,0.000956564944323,0.0017313188034486,-0.0034797499858592,0.0082178955215711,-0.0037919094241174,0.0004592774306034,0.0004116252769243,0.0004093543218388,-0.0160815640810082,0.0106919658792133,-0.0212399313418276,True
A15,A15_GroupDiverse-Gap_B3000,R2,same_machine,3,2.0,6.928203230275509,6.0,13.679942321414895,False,False,-988.3333333333334,1909.357570842437,-2127.0,-4207.23231149014,False,0.3333333333333333,0.3333333333333333,-2054.0,6.0,-0.0008890476697472,0.0013189927960937,-0.0016446937218003,-0.0126018140951488,0.0044571201196686,-0.0116792507753102,0.0013483251003506,0.000956564944323,0.0017313188034486,-0.0034797499858592,0.0082178955215711,-0.0037919094241174,0.0004592774306034,0.0004116252769243,0.0004093543218388,-0.0160815640810082,0.0106919658792133,-0.0212399313418276,True
A15,A15_GroupDiverse-Gap_B3000,R2,no_resume,3,2.0,6.928203230275509,6.0,13.679942321414895,False,False,-988.3333333333334,1909.357570842437,-2127.0,-4207.23231149014,False,0.3333333333333333,0.3333333333333333,-2054.0,6.0,-0.0008890476697472,0.0013189927960937,-0.0016446937218003,-0.0126018140951488,0.0044571201196686,-0.0116792507753102,0.0013483251003506,0.000956564944323,0.0017313188034486,-0.0034797499858592,0.0082178955215711,-0.0037919094241174,0.0004592774306034,0.0004116252769243,0.0004093543218388,-0.0160815640810082,0.0106919658792133,-0.0212399313418276,True
A16,A16_GapResidual-Strict_B3000,R1,all,3,8.0,6.244997998398398,13.0,18.528157733580827,False,False,-1581.0,1024.4915812245604,-2294.0,-3308.1437023076714,False,0.0,0.0,-2042.0,10.0,0.0002725307683704,0.0015041082477936,6.341820689681477e-05,-0.0061378510026152,0.0185805685604933,-0.0029302966937656,0.0001920270994195,0.0017745164223885,0.0011509440651259,-0.0030204700690587,0.0032285978480722,-0.0048131322848806,0.00046455786779,0.0007618527046489,3.48648229059334e-05,-0.009158321071674,0.0193958716776452,-0.0022236026150557,True
A16,A16_GapResidual-Strict_B3000,R1,same_machine,3,8.0,6.244997998398398,13.0,18.528157733580827,False,False,-1581.0,1024.4915812245604,-2294.0,-3308.1437023076714,False,0.0,0.0,-2042.0,10.0,0.0002725307683704,0.0015041082477936,6.341820689681477e-05,-0.0061378510026152,0.0185805685604933,-0.0029302966937656,0.0001920270994195,0.0017745164223885,0.0011509440651259,-0.0030204700690587,0.0032285978480722,-0.0048131322848806,0.00046455786779,0.0007618527046489,3.48648229059334e-05,-0.009158321071674,0.0193958716776452,-0.0022236026150557,True
A16,A16_GapResidual-Strict_B3000,R1,no_resume,3,8.0,6.244997998398398,13.0,18.528157733580827,False,False,-1581.0,1024.4915812245604,-2294.0,-3308.1437023076714,False,0.0,0.0,-2042.0,10.0,0.0002725307683704,0.0015041082477936,6.341820689681477e-05,-0.0061378510026152,0.0185805685604933,-0.0029302966937656,0.0001920270994195,0.0017745164223885,0.0011509440651259,-0.0030204700690587,0.0032285978480722,-0.0048131322848806,0.00046455786779,0.0007618527046489,3.48648229059334e-05,-0.009158321071674,0.0193958716776452,-0.0022236026150557,True
