run_slot,budget,completed_epochs,expected_steps_per_epoch_by_budget,recorded_steps_per_epoch,simple_expected_optimizer_steps,recorded_optimizer_steps_total,epochs_exact,steps_per_epoch_exact,optimizer_steps_exact,partial_step_reconciled,discarded_partial_optimizer_steps,resume_count,status
RUN_123,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_124,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_125,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_126,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_127,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_128,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_129,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_130,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_131,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_132,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_133,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_134,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_135,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_136,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_137,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_138,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_139,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_140,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_141,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_142,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_143,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_144,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_145,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_146,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_147,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_148,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_149,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_150,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_151,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_152,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_153,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
