threshold,precision,recall,f1,tp,fn,fp,tn
0.999999,0.990741,0.356667,0.52451,214,386,2,118
0.999999,0.990783,0.358333,0.526316,215,385,2,118
0.999999,0.990826,0.36,0.528117,216,384,2,118
0.999999,0.990868,0.361667,0.529915,217,383,2,118
0.999999,0.99095,0.365,0.533496,219,381,2,118
0.999999,0.99095,0.365,0.533496,219,381,2,118
0.999999,0.990991,0.366667,0.53528,220,380,2,118
0.999999,0.991071,0.37,0.538835,222,378,2,118
0.999999,0.991071,0.37,0.538835,222,378,2,118
0.999999,0.991111,0.371667,0.540606,223,377,2,118
0.999999,0.99115,0.373333,0.542373,224,376,2,118
0.999999,0.991228,0.376667,0.545894,226,374,2,118
0.999999,0.991266,0.378333,0.547648,227,373,2,118
0.999999,0.991266,0.378333,0.547648,227,373,2,118
0.999999,0.991342,0.381667,0.551143,229,371,2,118
0.999999,0.991342,0.381667,0.551143,229,371,2,118
0.999999,0.991379,0.383333,0.552885,230,370,2,118
0.999999,0.991453,0.386667,0.556355,232,368,2,118
0.999999,0.991453,0.386667,0.556355,232,368,2,118
0.999998,0.991525,0.39,0.559809,234,366,2,118
0.999998,0.991525,0.39,0.559809,234,366,2,118
0.999998,0.991561,0.391667,0.561529,235,365,2,118
0.999998,0.991632,0.395,0.564958,237,363,2,118
0.999998,0.991667,0.396667,0.566667,238,362,2,118
0.999998,0.991701,0.398333,0.568371,239,361,2,118
0.999998,0.991701,0.398333,0.568371,239,361,2,118
0.999998,0.991736,0.4,0.570071,240,360,2,118
0.999998,0.987705,0.401667,0.57109,241,359,3,117
0.999998,0.987705,0.401667,0.57109,241,359,3,117
0.999998,0.987805,0.405,0.574468,243,357,3,117
0.999998,0.987854,0.406667,0.576151,244,356,3,117
0.999998,0.987903,0.408333,0.57783,245,355,3,117
0.999998,0.987952,0.41,0.579505,246,354,3,117
0.999998,0.988,0.411667,0.581176,247,353,3,117
0.999998,0.988,0.411667,0.581176,247,353,3,117
0.999998,0.984064,0.411667,0.580494,247,353,4,116
0.999998,0.984127,0.413333,0.58216,248,352,4,116
0.999997,0.984252,0.416667,0.58548,250,350,4,116
0.999997,0.984314,0.418333,0.587135,251,349,4,116
0.999997,0.984375,0.42,0.588785,252,348,4,116
0.999997,0.984436,0.421667,0.590432,253,347,4,116
0.999997,0.984496,0.423333,0.592075,254,346,4,116
0.999997,0.984496,0.423333,0.592075,254,346,4,116
0.999997,0.984556,0.425,0.593714,255,345,4,116
0.999997,0.984615,0.426667,0.595349,256,344,4,116
0.999997,0.984733,0.43,0.598608,258,342,4,116
0.999996,0.984791,0.431667,0.600232,259,341,4,116
0.999996,0.984848,0.433333,0.601852,260,340,4,116
0.999996,0.984848,0.433333,0.601852,260,340,4,116
0.999996,0.984906,0.435,0.603468,261,339,4,116
0.999996,0.985019,0.438333,0.60669,263,337,4,116
0.999996,0.985075,0.44,0.608295,264,336,4,116
0.999996,0.98513,0.441667,0.609896,265,335,4,116
0.999995,0.985185,0.443333,0.611494,266,334,4,116
0.999995,0.985185,0.443333,0.611494,266,334,4,116
0.999995,0.985294,0.446667,0.614679,268,332,4,116
0.999995,0.985294,0.446667,0.614679,268,332,4,116
0.999995,0.985348,0.448333,0.616266,269,331,4,116
0.999994,0.985401,0.45,0.617849,270,330,4,116
0.999994,0.985507,0.453333,0.621005,272,328,4,116
0.999994,0.985507,0.453333,0.621005,272,328,4,116
0.999993,0.98556,0.455,0.622577,273,327,4,116
0.999993,0.985612,0.456667,0.624146,274,326,4,116
0.999993,0.985663,0.458333,0.625711,275,325,4,116
0.999992,0.985714,0.46,0.627273,276,324,4,116
0.999992,0.985816,0.463333,0.630385,278,322,4,116
0.999992,0.985866,0.465,0.631937,279,321,4,116
0.999992,0.985866,0.465,0.631937,279,321,4,116
0.999991,0.985915,0.466667,0.633484,280,320,4,116
0.999991,0.985965,0.468333,0.635028,281,319,4,116
0.999991,0.986014,0.47,0.636569,282,318,4,116
0.99999,0.986111,0.473333,0.63964,284,316,4,116
0.99999,0.986159,0.475,0.64117,285,315,4,116
0.999989,0.986207,0.476667,0.642697,286,314,4,116
0.999989,0.986207,0.476667,0.642697,286,314,4,116
0.999989,0.986254,0.478333,0.64422,287,313,4,116
0.999989,0.986301,0.48,0.64574,288,312,4,116
0.999988,0.986348,0.481667,0.647256,289,311,4,116
0.999988,0.986395,0.483333,0.64877,290,310,4,116
0.999987,0.986486,0.486667,0.651786,292,308,4,116
0.999987,0.986486,0.486667,0.651786,292,308,4,116
0.999987,0.986532,0.488333,0.653289,293,307,4,116
0.999987,0.986622,0.491667,0.656285,295,305,4,116
0.999987,0.986667,0.493333,0.657778,296,304,4,116
0.999987,0.986667,0.493333,0.657778,296,304,4,116
0.999986,0.986755,0.496667,0.660754,298,302,4,116
0.999986,0.986799,0.498333,0.662237,299,301,4,116
0.999985,0.986799,0.498333,0.662237,299,301,4,116
0.999985,0.986885,0.501667,0.665193,301,299,4,116
0.999984,0.986928,0.503333,0.666667,302,298,4,116
0.999984,0.986971,0.505,0.668137,303,297,4,116
0.999984,0.986971,0.505,0.668137,303,297,4,116
0.999983,0.987055,0.508333,0.671067,305,295,4,116
0.999983,0.987097,0.51,0.672527,306,294,4,116
0.999982,0.987097,0.51,0.672527,306,294,4,116
0.999982,0.987179,0.513333,0.675439,308,292,4,116
0.999981,0.98722,0.515,0.676889,309,291,4,116
0.999981,0.98722,0.515,0.676889,309,291,4,116
0.999979,0.987302,0.518333,0.679781,311,289,4,116
0.999979,0.987302,0.518333,0.679781,311,289,4,116
0.999978,0.987342,0.52,0.681223,312,288,4,116
0.999978,0.987382,0.521667,0.682661,313,287,4,116
0.999978,0.987461,0.525,0.685528,315,285,4,116
0.999978,0.9875,0.526667,0.686957,316,284,4,116
0.999975,0.9875,0.526667,0.686957,316,284,4,116
0.999975,0.987578,0.53,0.689805,318,282,4,116
0.999975,0.987578,0.53,0.689805,318,282,4,116
