epoch,checkpoint_file,checkpoint_path,temperature_T,tau_r995,tau_r990,spec_at_r995,spec_at_r990,prec_at_r990,ptr_at_r990,tn_at_r995,fn_at_r995,tn_at_r990,fn_at_r990,ratio_id
24,epoch23.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_024.pt,1.104303,0.15,0.2,0.309524,0.369048,0.886994,0.930556,26,1,31,4,hn00
25,epoch24.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_025.pt,1.161745,0.19,0.22,0.333333,0.369048,0.886994,0.930556,28,1,31,4,hn00
26,epoch25.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_026.pt,0.969964,0.16,0.18,0.345238,0.357143,0.88535,0.934524,29,1,30,3,hn00
27,epoch26.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_027.pt,1.293855,0.26,0.3,0.261905,0.309524,0.877637,0.940476,22,1,26,4,hn00
28,epoch27.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_028.pt,1.261155,0.13,0.17,0.130952,0.190476,0.859504,0.960317,11,1,16,4,hn00
29,epoch28.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_029.pt,1.205596,0.21,0.31,0.25,0.333333,0.881356,0.936508,21,2,28,4,hn00
30,epoch29.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_030.pt,0.925345,0.11,0.22,0.261905,0.404762,0.892704,0.924603,22,2,34,4,hn00
31,epoch30.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_031.pt,0.95478,0.12,0.17,0.190476,0.333333,0.881356,0.936508,16,2,28,4,hn00
32,epoch31.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_032.pt,1.115169,0.1,0.18,0.130952,0.321429,0.879493,0.938492,11,2,27,4,hn00
33,epoch32.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_033.pt,1.029093,0.1,0.19,0.214286,0.309524,0.877637,0.940476,18,1,26,4,hn00
34,epoch33.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_034.pt,0.97003,0.2,0.23,0.333333,0.380952,0.888889,0.928571,28,1,32,4,hn00
35,epoch34.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_035.pt,1.067006,0.14,0.17,0.345238,0.357143,0.885106,0.93254,29,2,30,4,hn00
36,epoch35.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_036.pt,1.081409,0.18,0.21,0.380952,0.392857,0.891026,0.928571,32,2,33,3,hn00
37,epoch36.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_037.pt,1.133107,0.15,0.17,0.321429,0.345238,0.883475,0.936508,27,2,29,3,hn00
38,epoch37.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_038.pt,1.021914,0.22,0.22,0.285714,0.285714,0.874477,0.948413,24,2,24,2,hn00
39,epoch38.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_039.pt,1.04518,0.17,0.27,0.22619,0.321429,0.879493,0.938492,19,0,27,4,hn00
40,epoch39.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_040.pt,1.592331,0.28,0.3,0.357143,0.392857,0.891026,0.928571,30,2,33,3,hn00
41,epoch40.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_041.pt,1.220584,0.2,0.28,0.369048,0.428571,0.896552,0.920635,31,1,36,4,hn00
42,epoch41.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_042.pt,1.151826,0.29,0.33,0.369048,0.428571,0.896552,0.920635,31,2,36,4,hn00
43,epoch42.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_043.pt,1.222256,0.24,0.27,0.357143,0.416667,0.89485,0.924603,30,2,35,3,hn00
44,epoch43.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_044.pt,1.218684,0.23,0.28,0.380952,0.428571,0.896552,0.920635,32,1,36,4,hn00
45,epoch44.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_045.pt,1.211785,0.15,0.19,0.392857,0.404762,0.892934,0.926587,33,2,34,3,hn00
46,epoch45.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_046.pt,1.288418,0.21,0.32,0.309524,0.404762,0.892704,0.924603,26,2,34,4,hn00
47,epoch46.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_047.pt,1.117799,0.13,0.15,0.261905,0.297619,0.875789,0.94246,22,1,25,4,hn00
48,epoch47.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_048.pt,1.204274,0.13,0.2,0.321429,0.392857,0.890792,0.926587,27,2,33,4,hn00
49,epoch48.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_049.pt,1.284282,0.22,0.25,0.369048,0.380952,0.888889,0.928571,31,2,32,4,hn00
50,epoch49.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_050.pt,1.041009,0.26,0.26,0.488095,0.488095,0.906725,0.914683,41,2,41,2,hn00
51,epoch50.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_051.pt,1.230413,0.13,0.21,0.297619,0.345238,0.883227,0.934524,25,2,29,4,hn00
52,epoch51.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_052.pt,1.078988,0.19,0.28,0.47619,0.559524,0.918322,0.89881,40,2,47,4,hn00
53,epoch52.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_053.pt,1.211499,0.19,0.23,0.428571,0.464286,0.902386,0.914683,36,2,39,4,hn00
54,epoch53.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_054.pt,1.268774,0.2,0.28,0.321429,0.404762,0.892704,0.924603,27,2,34,4,hn00
55,epoch54.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_055.pt,1.28322,0.18,0.32,0.345238,0.547619,0.916484,0.902778,29,2,46,3,hn00
56,epoch55.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_056.pt,1.323603,0.18,0.22,0.369048,0.440476,0.898488,0.918651,31,1,37,4,hn00
57,epoch56.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_057.pt,1.276626,0.12,0.13,0.345238,0.357143,0.885106,0.93254,29,2,30,4,hn00
58,epoch57.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_058.pt,1.343263,0.22,0.28,0.357143,0.452381,0.900648,0.918651,30,2,38,3,hn00
59,epoch58.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_059.pt,1.344802,0.28,0.31,0.511905,0.535714,0.914286,0.902778,43,2,45,4,hn00
60,epoch59.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_060.pt,1.398659,0.28,0.31,0.452381,0.5,0.908297,0.90873,38,2,42,4,hn00
61,epoch60.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_061.pt,1.306179,0.2,0.28,0.416667,0.5,0.908297,0.90873,35,2,42,4,hn00
62,epoch61.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_062.pt,1.442131,0.15,0.28,0.285714,0.428571,0.896552,0.920635,24,2,36,4,hn00
63,epoch62.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_063.pt,1.416967,0.12,0.18,0.238095,0.357143,0.88535,0.934524,20,1,30,3,hn00
64,epoch63.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_064.pt,1.333393,0.17,0.27,0.357143,0.488095,0.906318,0.910714,30,2,41,4,hn00
65,epoch64.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_065.pt,1.3175,0.07,0.17,0.214286,0.392857,0.890792,0.926587,18,2,33,4,hn00
66,epoch65.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_066.pt,1.334844,0.18,0.23,0.404762,0.428571,0.896552,0.920635,34,1,36,4,hn00
67,epoch66.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_067.pt,1.546508,0.16,0.27,0.357143,0.47619,0.904348,0.912698,30,2,40,4,hn00
68,epoch67.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_068.pt,1.564084,0.12,0.15,0.238095,0.297619,0.875789,0.94246,20,2,25,4,hn00
69,epoch68.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_069.pt,1.434099,0.2,0.23,0.416667,0.428571,0.896552,0.920635,35,2,36,4,hn00
70,epoch69.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_070.pt,1.473757,0.21,0.29,0.404762,0.47619,0.904348,0.912698,34,2,40,4,hn00
71,epoch70.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_071.pt,1.455864,0.16,0.19,0.428571,0.452381,0.900433,0.916667,36,2,38,4,hn00
72,epoch71.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_072.pt,1.494061,0.19,0.23,0.404762,0.428571,0.896552,0.920635,34,1,36,4,hn00
73,epoch72.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_073.pt,1.618715,0.14,0.21,0.357143,0.440476,0.898488,0.918651,30,2,37,4,hn00
74,epoch73.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_074.pt,1.471303,0.18,0.18,0.404762,0.404762,0.893162,0.928571,34,2,34,2,hn00
75,epoch74.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_075.pt,1.479603,0.16,0.31,0.345238,0.559524,0.918322,0.89881,29,2,47,4,hn00
76,epoch75.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_076.pt,1.55186,0.25,0.36,0.511905,0.583333,0.922395,0.894841,43,2,49,4,hn00
77,epoch76.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_077.pt,1.574685,0.2,0.22,0.428571,0.452381,0.900433,0.916667,36,2,38,4,hn00
78,epoch77.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_078.pt,1.642287,0.15,0.2,0.369048,0.452381,0.900648,0.918651,31,2,38,3,hn00
79,epoch78.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_079.pt,1.544928,0.12,0.18,0.309524,0.47619,0.904348,0.912698,26,1,40,4,hn00
80,epoch79.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_080.pt,1.440537,0.12,0.16,0.297619,0.380952,0.888889,0.928571,25,2,32,4,hn00
81,epoch80.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_081.pt,1.405108,0.09,0.17,0.261905,0.392857,0.890792,0.926587,22,2,33,4,hn00
82,epoch81.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_082.pt,1.443849,0.07,0.29,0.261905,0.547619,0.9163,0.900794,22,2,46,4,hn00
83,epoch82.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_083.pt,1.523711,0.11,0.22,0.297619,0.5,0.908497,0.910714,25,2,42,3,hn00
84,epoch83.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_084.pt,1.595293,0.23,0.3,0.428571,0.5,0.908297,0.90873,36,2,42,4,hn00
85,epoch84.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_085.pt,1.493482,0.17,0.24,0.428571,0.535714,0.914286,0.902778,36,2,45,4,hn00
86,epoch85.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_086.pt,1.725608,0.13,0.25,0.309524,0.511905,0.910284,0.906746,26,1,43,4,hn00
87,epoch86.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_087.pt,1.469497,0.09,0.15,0.238095,0.380952,0.888889,0.928571,20,2,32,4,hn00
88,epoch87.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_088.pt,1.624475,0.09,0.18,0.309524,0.488095,0.906318,0.910714,26,2,41,4,hn00
89,epoch88.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_089.pt,1.653571,0.13,0.3,0.357143,0.547619,0.9163,0.900794,30,2,46,4,hn00
90,epoch89.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_090.pt,1.591714,0.12,0.24,0.345238,0.511905,0.910284,0.906746,29,2,43,4,hn00
91,epoch90.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_091.pt,1.69479,0.09,0.17,0.22619,0.404762,0.892704,0.924603,19,2,34,4,hn00
92,epoch91.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_092.pt,1.850904,0.14,0.27,0.309524,0.52381,0.912281,0.904762,26,2,44,4,hn00
93,epoch92.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_093.pt,1.887309,0.15,0.19,0.369048,0.47619,0.904348,0.912698,31,2,40,4,hn00
94,epoch93.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_094.pt,1.865427,0.16,0.19,0.369048,0.428571,0.896552,0.920635,31,2,36,4,hn00
95,epoch94.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_095.pt,1.768795,0.16,0.23,0.357143,0.464286,0.902386,0.914683,30,2,39,4,hn00
96,epoch95.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_096.pt,1.69202,0.16,0.21,0.416667,0.5,0.908297,0.90873,35,2,42,4,hn00
97,epoch96.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_097.pt,1.683526,0.16,0.18,0.428571,0.452381,0.900648,0.918651,36,2,38,3,hn00
98,epoch97.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_098.pt,1.724468,0.19,0.21,0.464286,0.5,0.908297,0.90873,39,2,42,4,hn00
99,epoch98.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_099.pt,1.884472,0.14,0.23,0.333333,0.535714,0.914474,0.904762,28,2,45,3,hn00
100,epoch99.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_100.pt,1.931602,0.15,0.21,0.345238,0.52381,0.912281,0.904762,29,2,44,4,hn00
101,epoch100.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_101.pt,1.861855,0.14,0.21,0.369048,0.511905,0.910284,0.906746,31,2,43,4,hn00
102,epoch101.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_102.pt,1.865296,0.09,0.21,0.214286,0.488095,0.906522,0.912698,18,1,41,3,hn00
