threshold,tpr,recall,fpr,specificity,tp,fn,fp,tn
0.999984,0.498333,0.498333,0.025,0.975,299,301,3,117
0.999983,0.5,0.5,0.025,0.975,300,300,3,117
0.999982,0.501667,0.501667,0.025,0.975,301,299,3,117
0.999982,0.503333,0.503333,0.025,0.975,302,298,3,117
0.999982,0.505,0.505,0.025,0.975,303,297,3,117
0.999981,0.505,0.505,0.025,0.975,303,297,3,117
0.999981,0.506667,0.506667,0.025,0.975,304,296,3,117
0.99998,0.508333,0.508333,0.025,0.975,305,295,3,117
0.99998,0.511667,0.511667,0.025,0.975,307,293,3,117
0.999979,0.511667,0.511667,0.025,0.975,307,293,3,117
0.999979,0.513333,0.513333,0.025,0.975,308,292,3,117
0.999977,0.516667,0.516667,0.025,0.975,310,290,3,117
0.999977,0.518333,0.518333,0.025,0.975,311,289,3,117
0.999977,0.52,0.52,0.025,0.975,312,288,3,117
0.999976,0.52,0.52,0.025,0.975,312,288,3,117
0.999976,0.521667,0.521667,0.025,0.975,313,287,3,117
0.999974,0.523333,0.523333,0.025,0.975,314,286,3,117
0.999974,0.525,0.525,0.025,0.975,315,285,3,117
0.999973,0.526667,0.526667,0.025,0.975,316,284,3,117
0.999972,0.528333,0.528333,0.033333,0.966667,317,283,4,116
0.999971,0.528333,0.528333,0.033333,0.966667,317,283,4,116
0.999971,0.53,0.53,0.041667,0.958333,318,282,5,115
0.99997,0.53,0.53,0.041667,0.958333,318,282,5,115
0.99997,0.531667,0.531667,0.041667,0.958333,319,281,5,115
0.99997,0.533333,0.533333,0.041667,0.958333,320,280,5,115
0.999968,0.536667,0.536667,0.041667,0.958333,322,278,5,115
0.999968,0.536667,0.536667,0.041667,0.958333,322,278,5,115
0.999967,0.538333,0.538333,0.041667,0.958333,323,277,5,115
0.999967,0.541667,0.541667,0.041667,0.958333,325,275,5,115
0.999964,0.541667,0.541667,0.041667,0.958333,325,275,5,115
0.999963,0.543333,0.543333,0.041667,0.958333,326,274,5,115
0.999961,0.546667,0.546667,0.041667,0.958333,328,272,5,115
