relative_path,path,category,required,exists,size_bytes,sha256,modified_time
weights/epoch132.pt,D:\ssh\AI\runs\stage1_cls_sweep\full_yolo11l_cls_20260615-123305\weights\epoch132.pt,optional,False,True,77364103,f2309cdb58b248da39890f53c6cca87cd1d4690411cbe5c6b1b402bcd159087e,2026-06-15T21:11:48
weights/epoch133.pt,D:\ssh\AI\runs\stage1_cls_sweep\full_yolo11l_cls_20260615-123305\weights\epoch133.pt,optional,False,True,77364167,1b2a791cecfdbb84816aec8f83954f5843eb567124ba9e784e02346e08ea5b12,2026-06-15T21:15:42
weights/epoch134.pt,D:\ssh\AI\runs\stage1_cls_sweep\full_yolo11l_cls_20260615-123305\weights\epoch134.pt,optional,False,True,77364295,9cf007c2b110f1faa929d9ca7f5eeb2f622d9541763aa7969684efc0c428fb07,2026-06-15T21:19:36
weights/epoch135.pt,D:\ssh\AI\runs\stage1_cls_sweep\full_yolo11l_cls_20260615-123305\weights\epoch135.pt,optional,False,True,77364423,c7224ec51ef106e03d389a2314546fd713951e6106ead52ba26ae6b444af0f3d,2026-06-15T21:23:30
weights/epoch136.pt,D:\ssh\AI\runs\stage1_cls_sweep\full_yolo11l_cls_20260615-123305\weights\epoch136.pt,optional,False,True,77364551,731ff2ee9ea7f25fc129eb15b3a6f641f29d24a3e2fd87b88186969f9f64b616,2026-06-15T21:27:23
weights/epoch137.pt,D:\ssh\AI\runs\stage1_cls_sweep\full_yolo11l_cls_20260615-123305\weights\epoch137.pt,optional,False,True,77364615,7f095caa14478fbee9f35beb1b02bd3ab7a358ff6079138177bb52d00e48b76b,2026-06-15T21:31:16
weights/epoch138.pt,D:\ssh\AI\runs\stage1_cls_sweep\full_yolo11l_cls_20260615-123305\weights\epoch138.pt,optional,False,True,77364743,8b1948b2703a4db61e87242ffbd0afd8af28b93d248cc5247fe8dc58b667e2b7,2026-06-15T21:35:10
weights/epoch139.pt,D:\ssh\AI\runs\stage1_cls_sweep\full_yolo11l_cls_20260615-123305\weights\epoch139.pt,optional,False,True,77364871,4296410610a43a1c8954260547148b1d05bca7498f4bb146843a90804c8b1260,2026-06-15T21:39:05
weights/epoch14.pt,D:\ssh\AI\runs\stage1_cls_sweep\full_yolo11l_cls_20260615-123305\weights\epoch14.pt,optional,False,True,77350855,9eb1f0791bbc5485722f95357c70cc37180dd419b0eb9cfc11f81508d2671431,2026-06-15T13:36:04
weights/epoch140.pt,D:\ssh\AI\runs\stage1_cls_sweep\full_yolo11l_cls_20260615-123305\weights\epoch140.pt,optional,False,True,77364999,ffec57eb089338c7317ffa1d45d606f4e2d558d584ea897a084454b188661558,2026-06-15T21:42:59
weights/epoch141.pt,D:\ssh\AI\runs\stage1_cls_sweep\full_yolo11l_cls_20260615-123305\weights\epoch141.pt,optional,False,True,77365063,1cfb2d9f91b8fc1f78815e43d0faac3bb8ade6d3c696e6c8ba8964cf8f0b2b99,2026-06-15T21:46:52
weights/epoch142.pt,D:\ssh\AI\runs\stage1_cls_sweep\full_yolo11l_cls_20260615-123305\weights\epoch142.pt,optional,False,True,77365191,0076dc9e708c3627f8ab80cc2258cb609fb2f485dc22841ba3dc1d0e926a5947,2026-06-15T21:50:47
weights/epoch143.pt,D:\ssh\AI\runs\stage1_cls_sweep\full_yolo11l_cls_20260615-123305\weights\epoch143.pt,optional,False,True,77365319,22a60065b432a2f52f8065c33f12878ce016e273b7c89c2e710d4199981f1086,2026-06-15T21:54:41
weights/epoch144.pt,D:\ssh\AI\runs\stage1_cls_sweep\full_yolo11l_cls_20260615-123305\weights\epoch144.pt,optional,False,True,77365447,e89fa99050de1f4434af35933563b0d06c4dfd6914f741d50a732224c495e923,2026-06-15T21:58:35
weights/epoch145.pt,D:\ssh\AI\runs\stage1_cls_sweep\full_yolo11l_cls_20260615-123305\weights\epoch145.pt,optional,False,True,77365511,b388eb197cf5c2de1e2798013378148664f4b9e59b4403f5c6de4b16fd667191,2026-06-15T22:02:27
weights/epoch146.pt,D:\ssh\AI\runs\stage1_cls_sweep\full_yolo11l_cls_20260615-123305\weights\epoch146.pt,optional,False,True,77365639,21d320a6d4ce3335406afb840fa04f1355323ae333c01d031d78102e88362141,2026-06-15T22:06:21
weights/epoch147.pt,D:\ssh\AI\runs\stage1_cls_sweep\full_yolo11l_cls_20260615-123305\weights\epoch147.pt,optional,False,True,77365767,4b76cc1923a4344d9c32c937b0cad30d5890d0cb9451c0683696325e0f314bd8,2026-06-15T22:10:14
weights/epoch148.pt,D:\ssh\AI\runs\stage1_cls_sweep\full_yolo11l_cls_20260615-123305\weights\epoch148.pt,optional,False,True,77365895,ee773228119b7d9c8ed5227512ec8fb5771294f1f6b28b0825f49dc6ad398e47,2026-06-15T22:14:09
weights/epoch149.pt,D:\ssh\AI\runs\stage1_cls_sweep\full_yolo11l_cls_20260615-123305\weights\epoch149.pt,optional,False,True,77365959,1aa67a339808ef0b0914a8da027737700f24d4588a76ff75df490332292f9d0a,2026-06-15T22:18:05
weights/epoch15.pt,D:\ssh\AI\runs\stage1_cls_sweep\full_yolo11l_cls_20260615-123305\weights\epoch15.pt,optional,False,True,77350983,108d1b1238d558e58672edd300d1ffcb9f50d8e3831682ff8e88f4acfad8ec2c,2026-06-15T13:39:57
weights/epoch150.pt,D:\ssh\AI\runs\stage1_cls_sweep\full_yolo11l_cls_20260615-123305\weights\epoch150.pt,optional,False,True,77366087,f6d663164e2cd791cf9b8ed511b14b2ed09aad010d3c92c0611b670e3d936e9e,2026-06-15T22:21:59
weights/epoch151.pt,D:\ssh\AI\runs\stage1_cls_sweep\full_yolo11l_cls_20260615-123305\weights\epoch151.pt,optional,False,True,77366215,9aa183267b5dc4b108d949090bb90bd8f9c9e7d1b46c6ee9c172b4890b711cc8,2026-06-15T22:25:56
weights/epoch152.pt,D:\ssh\AI\runs\stage1_cls_sweep\full_yolo11l_cls_20260615-123305\weights\epoch152.pt,optional,False,True,77366343,a2a6ea304cebb19cc26c4561ccfa72c93d2ebeff8be5b56bdff6478211fa82e9,2026-06-15T22:29:50
weights/epoch153.pt,D:\ssh\AI\runs\stage1_cls_sweep\full_yolo11l_cls_20260615-123305\weights\epoch153.pt,optional,False,True,77366407,c31b8b6dd707488431e46c97821d44e8ca409be0f8797e6fa0bc37f06dcd72e8,2026-06-15T22:33:48
weights/epoch154.pt,D:\ssh\AI\runs\stage1_cls_sweep\full_yolo11l_cls_20260615-123305\weights\epoch154.pt,optional,False,True,77366535,6a3d135fdb869edb4f673e5801210fe4f82fcb415b674d73b3c87a01a842f4b6,2026-06-15T22:37:41
weights/epoch155.pt,D:\ssh\AI\runs\stage1_cls_sweep\full_yolo11l_cls_20260615-123305\weights\epoch155.pt,optional,False,True,77366663,57970216bbeaeec3e3725aefeda0a2bf2b1ef74b5c873cd1616fc90f92133b87,2026-06-15T22:41:35
weights/epoch156.pt,D:\ssh\AI\runs\stage1_cls_sweep\full_yolo11l_cls_20260615-123305\weights\epoch156.pt,optional,False,True,77366791,992cedb7f8f125896bf7f9e94cddf89588a69be5869f3b02eaf2de8428d347b9,2026-06-15T22:45:29
weights/epoch157.pt,D:\ssh\AI\runs\stage1_cls_sweep\full_yolo11l_cls_20260615-123305\weights\epoch157.pt,optional,False,True,77366855,ae7edf85566214355d800cfb870e4b37a91edd7757d247ee3899f757ce4838ca,2026-06-15T22:49:23
