variant,variant_desc,threshold,tp,fn,fp,tn,recall,precision,specificity,fpr,fnr,npv,accuracy,f1,ptr,normal_filtered,normal_left,abnormal_kept,abnormal_missed
P0,calibrated p_abnormal,0.69,379,41,13,71,0.902381,0.966837,0.845238,0.154762,0.097619,0.633929,0.892857,0.933498,0.777778,71,13,379,41
P0,calibrated p_abnormal,0.7,379,41,13,71,0.902381,0.966837,0.845238,0.154762,0.097619,0.633929,0.892857,0.933498,0.777778,71,13,379,41
P0,calibrated p_abnormal,0.71,378,42,13,71,0.9,0.966752,0.845238,0.154762,0.1,0.628319,0.890873,0.932182,0.775794,71,13,378,42
P0,calibrated p_abnormal,0.72,377,43,13,71,0.897619,0.966667,0.845238,0.154762,0.102381,0.622807,0.888889,0.930864,0.77381,71,13,377,43
P0,calibrated p_abnormal,0.73,374,46,13,71,0.890476,0.966408,0.845238,0.154762,0.109524,0.606838,0.882937,0.92689,0.767857,71,13,374,46
P0,calibrated p_abnormal,0.74,373,47,12,72,0.888095,0.968831,0.857143,0.142857,0.111905,0.605042,0.882937,0.926708,0.763889,72,12,373,47
P0,calibrated p_abnormal,0.75,370,50,11,73,0.880952,0.971129,0.869048,0.130952,0.119048,0.593496,0.878968,0.923845,0.755952,73,11,370,50
P0,calibrated p_abnormal,0.76,366,54,11,73,0.871429,0.970822,0.869048,0.130952,0.128571,0.574803,0.871032,0.918444,0.748016,73,11,366,54
P0,calibrated p_abnormal,0.77,365,55,11,73,0.869048,0.970745,0.869048,0.130952,0.130952,0.570312,0.869048,0.917085,0.746032,73,11,365,55
P0,calibrated p_abnormal,0.78,365,55,11,73,0.869048,0.970745,0.869048,0.130952,0.130952,0.570312,0.869048,0.917085,0.746032,73,11,365,55
P0,calibrated p_abnormal,0.79,364,56,10,74,0.866667,0.973262,0.880952,0.119048,0.133333,0.569231,0.869048,0.916877,0.742063,74,10,364,56
P0,calibrated p_abnormal,0.8,360,60,10,74,0.857143,0.972973,0.880952,0.119048,0.142857,0.552239,0.861111,0.911392,0.734127,74,10,360,60
P0,calibrated p_abnormal,0.81,359,61,10,74,0.854762,0.9729,0.880952,0.119048,0.145238,0.548148,0.859127,0.910013,0.732143,74,10,359,61
P0,calibrated p_abnormal,0.82,355,65,10,74,0.845238,0.972603,0.880952,0.119048,0.154762,0.532374,0.85119,0.904459,0.724206,74,10,355,65
P0,calibrated p_abnormal,0.83,352,68,10,74,0.838095,0.972376,0.880952,0.119048,0.161905,0.521127,0.845238,0.900256,0.718254,74,10,352,68
P0,calibrated p_abnormal,0.84,346,74,10,74,0.82381,0.97191,0.880952,0.119048,0.17619,0.5,0.833333,0.891753,0.706349,74,10,346,74
P0,calibrated p_abnormal,0.85,342,78,9,75,0.814286,0.974359,0.892857,0.107143,0.185714,0.490196,0.827381,0.88716,0.696429,75,9,342,78
P0,calibrated p_abnormal,0.86,339,81,9,75,0.807143,0.974138,0.892857,0.107143,0.192857,0.480769,0.821429,0.882812,0.690476,75,9,339,81
P0,calibrated p_abnormal,0.87,335,85,7,77,0.797619,0.979532,0.916667,0.083333,0.202381,0.475309,0.81746,0.879265,0.678571,77,7,335,85
P0,calibrated p_abnormal,0.88,332,88,7,77,0.790476,0.979351,0.916667,0.083333,0.209524,0.466667,0.811508,0.874835,0.672619,77,7,332,88
P0,calibrated p_abnormal,0.89,324,96,7,77,0.771429,0.978852,0.916667,0.083333,0.228571,0.445087,0.795635,0.86285,0.656746,77,7,324,96
P0,calibrated p_abnormal,0.9,319,101,6,78,0.759524,0.981538,0.928571,0.071429,0.240476,0.435754,0.787698,0.856376,0.644841,78,6,319,101
P0,calibrated p_abnormal,0.91,316,104,5,79,0.752381,0.984424,0.940476,0.059524,0.247619,0.431694,0.78373,0.852901,0.636905,79,5,316,104
P0,calibrated p_abnormal,0.92,307,113,5,79,0.730952,0.983974,0.940476,0.059524,0.269048,0.411458,0.765873,0.838798,0.619048,79,5,307,113
P0,calibrated p_abnormal,0.93,296,124,5,79,0.704762,0.983389,0.940476,0.059524,0.295238,0.389163,0.744048,0.821082,0.597222,79,5,296,124
P0,calibrated p_abnormal,0.94,290,130,5,79,0.690476,0.983051,0.940476,0.059524,0.309524,0.37799,0.732143,0.811189,0.585317,79,5,290,130
P0,calibrated p_abnormal,0.95,282,138,5,79,0.671429,0.982578,0.940476,0.059524,0.328571,0.364055,0.71627,0.797737,0.569444,79,5,282,138
P0,calibrated p_abnormal,0.96,271,149,4,80,0.645238,0.985455,0.952381,0.047619,0.354762,0.349345,0.696429,0.779856,0.545635,80,4,271,149
P0,calibrated p_abnormal,0.97,253,167,1,83,0.602381,0.996063,0.988095,0.011905,0.397619,0.332,0.666667,0.750742,0.503968,83,1,253,167
P0,calibrated p_abnormal,0.98,228,192,1,83,0.542857,0.995633,0.988095,0.011905,0.457143,0.301818,0.617063,0.702619,0.454365,83,1,228,192
