paper_id,title,path,bytes,sha256,source_format,selection_role,reading_rank,reading_credit_granted
P0020,GLISTER: Generalization based Data Subset Selection for Efficient and Robust Learning,staging/broad_freeze_canonical_repaired_v4/sources/P0020.pdf,797498,88ECDA6540A7E528B2CB7C7763492CFB5763A0D421580ADB50E130FB9551BAF6,PDF,PRIMARY,36,False
P0149,Data Selection for Language Models via Importance Resampling,staging/broad_freeze_canonical_repaired_v4/sources/P0149.pdf,1118931,3826EC3EED198449C48843A615505CC0763B1C664E96239C714D61F017B8D6DC,PDF,PRIMARY,37,False
P0321,Mitigating Memorization in Sample Selection for Learning with Noisy Labels,staging/broad_freeze_canonical_repaired_v4/sources/P0321.pdf,2647560,A461E159BE20AFFA87351773F5B0FE90BD89790B5930B1D7CFFDD661BD85A457,PDF,PRIMARY,38,False
P0081,Data Attribution in Large Language Models via Bidirectional Gradient Optimization,staging/broad_freeze_canonical_repaired_v4/sources/P0081.pdf,442112,39A3ADAE7556AEF4CA6F8F34C3E050A8DCE4023C8608652CA4DBBD1CE3CF5352,PDF,PRIMARY,39,False
P0209,Army of Thieves: Enhancing Black-Box Model Extraction via Ensemble based sample selection,staging/broad_freeze_canonical_repaired_v4/sources/P0209.pdf,1519202,B1FF6C8AAABE29278E4643176854AD121EF2864B24C832250F541C9968FAA7F2,PDF,PRIMARY,40,False
P0422,Understanding Black-box Predictions via Influence Functions,sources/legacy_core/P012_Influence_Functions_2017.pdf,4815350,715FB9F935B0AF32C7AE1F0D834FD5158EDB279A575A4AE91196D1830F281F65,PDF,PRIMARY,41,False
P0220,A Neural Network Approach for Online Nonlinear Neyman-Pearson Classification,staging/broad_freeze_canonical_repaired_v4/sources/P0220.pdf,1717706,1760D79C1FD9085E486940F6B8F869040A13FF78FAFF6EDCF2C502E39309446B,PDF,PRIMARY,42,False
P0195,Generative Entity Typing with Curriculum Learning,staging/broad_freeze_canonical_repaired_v4/sources/P0195.pdf,821166,AF71AA13F24ACABB711E4FCD905BA9EA7543804293CE2EC8ED3D6FBE2E096C3E,PDF,PRIMARY,43,False
P0345,A Novel Multiview Sampling-Based Meta Self-Paced Learning Approach for Class-Imbalanced Intelligent Fault Diagnosis,staging/broad_freeze_canonical_repaired_v4/sources/P0345.pdf,1505647,E9D6ABC660DCAFDD35737AEE1668093372052FA992780C2EFF410A1966995FA1,PDF,PRIMARY,44,False
P0189,Logistic push: a regression framework for partial AUC optimization,staging/broad_freeze_canonical_repaired_v4/sources/P0189.pdf,336939,6FB2E5588DDAF4358FE6EC6CBB2B9E94D804A5A36A0496D7F5915E4F86A25FCF,PDF,PRIMARY,45,False
P0405,Density-Based Dynamic Curriculum Learning for Intent Detection,staging/broad_freeze_canonical_repaired_v4/sources/P0405.pdf,1678689,13181524DF8C4B076FB3765C65E72105DB1409B6807238BC8CE4C4F0402C2311,PDF,PRIMARY,46,False
P0197,Deep Learning on a Data Diet: Finding Important Examples Early in\n Training,staging/broad_freeze_canonical_repaired_v4/sources/P0197.pdf,2241745,842B7D259D98E6C900D87F730D08B689F347DF70D764BF72E4A503DACA213058,PDF,PRIMARY,47,False
P0065,Smart Cuts: Enhance Active Learning for Vulnerability Detection by Pruning Hard-to-Learn Data,staging/broad_freeze_canonical_repaired_v4/sources/P0065.pdf,3183768,976A0D6476849AD2652D15DDA87980EB255A7724B8B52257CFD8B2F12635FBE2,PDF,PRIMARY,48,False
P0438,Training data selection for event classification in a highly variable environment,staging/broad_freeze_canonical_repaired_v4/sources/P0438.pdf,1703068,D9EDC16FF6FC88EBA9EBA97BDE2C3D33B9FB74F532966443EB80F1C2DAA015A6,PDF,PRIMARY,49,False
P0360,TDSelector: A Training Data Selection Method for Cross-Project Defect Prediction,staging/broad_freeze_canonical_repaired_v4/sources/P0360.pdf,513110,1919745A27093D4106A600CDABD659FB8B6EDA531AB334536E369190CFF3C918,PDF,PRIMARY,50,False
P0112,UNICON: Combating Label Noise Through Uniform Selection and Contrastive Learning,staging/broad_freeze_canonical_repaired_v4/sources/P0112.pdf,2531250,F5BB0C951181300351F496D44041A5EB6599529199BB89E90CB3710DCDCB395A,PDF,PRIMARY,51,False
P0267,Automatic Combination of Sample Selection Strategies for Few-Shot Learning,staging/broad_freeze_canonical_repaired_v4/sources/P0267.pdf,7594462,CA8F3F98FC0953B3AD566786C82B9AE03ED005E7A1D758BACFEDE15AF65C9132,PDF,PRIMARY,52,False
P0495,Enhancing Training Data Attribution for Large Language Models with Fitting Error Consideration,staging/broad_freeze_canonical_repaired_v4/sources/P0495.pdf,379661,BF5F31EDA53A965F85D73ABA7517B0D6B4A8739E23D4D348412AA2EC23B17239,PDF,PRIMARY,53,False
P0136,Zero-Shot Coreset Selection via Iterative Subspace Sampling,staging/broad_freeze_canonical_repaired_v4/sources/P0136.pdf,12351128,6BBC162930D602D73F2D9ADA583C22D6C6252DE119E9669BF0092718DC0B9EB6,PDF,PRIMARY,54,False
P0097,Learn like a Pathologist: Curriculum Learning by Annotator Agreement for Histopathology Image Classification,staging/broad_freeze_canonical_repaired_v4/sources/P0097.pdf,11047720,94AD5EE0FBE28A95391CA4F2BD4A447B03A42B4ED188D35BF0197290DB2E49E3,PDF,PRIMARY,55,False
P0359,QADYNAMICS: Training Dynamics-Driven Synthetic QA Diagnostic for Zero-Shot Commonsense Question Answering,staging/broad_freeze_canonical_repaired_v4/sources/P0359.pdf,1007832,7F77497EC65F82AF821387D608D430AED106D8C0A877FAD0B9E81804AF8E738B,PDF,PRIMARY,56,False
P0361,Self-Paced Curriculum Learning for Visual Question Answering on Remote Sensing Data,staging/broad_freeze_canonical_repaired_v4/sources/P0361.pdf,583025,7767B424E1638909A8493540E1C822AA5D8781847DE01E8AD4ED937C6036588E,PDF,PRIMARY,57,False
P0421,Self-Paced Learning with Diversity,staging/broad_freeze_canonical_repaired_v4/sources/P0421.pdf,754481,DA3CB3F840750AA845BFCDFB19AE262E052FD977BC2C1A48BCFCCD1E1EEFD9DB,PDF,PRIMARY,58,False
P0051,Investigating Multi-source Active Learning for Natural Language Inference,staging/broad_freeze_canonical_repaired_v4/sources/P0051.pdf,3245207,972BD53306DEF3A83BDCD5DD161D06C7D77520FA0C44C1A15A8BCDA3DA27681F,PDF,PRIMARY,59,False
