epoch,checkpoint_path,Accuracy,AUROC,AUPRC,top1_acc
46,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11x_cls6_formal_200ep\weights\epoch_046.pt,0.6514,0.9300,0.9822,0.6514
47,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11x_cls6_formal_200ep\weights\epoch_047.pt,0.6347,0.9383,0.9858,0.6333
48,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11x_cls6_formal_200ep\weights\epoch_048.pt,0.6444,0.9391,0.9869,0.6444
49,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11x_cls6_formal_200ep\weights\epoch_049.pt,0.6681,0.9478,0.9887,0.6681
50,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11x_cls6_formal_200ep\weights\epoch_050.pt,0.6514,0.9327,0.9843,0.6514
51,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11x_cls6_formal_200ep\weights\epoch_051.pt,0.6611,0.9424,0.9868,0.6611
52,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11x_cls6_formal_200ep\weights\epoch_052.pt,0.6486,0.9468,0.9882,0.6514
53,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11x_cls6_formal_200ep\weights\epoch_053.pt,0.6472,0.9377,0.9852,0.6472
54,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11x_cls6_formal_200ep\weights\epoch_054.pt,0.6556,0.9427,0.9868,0.6556
55,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11x_cls6_formal_200ep\weights\epoch_055.pt,0.6653,0.9356,0.9844,0.6653
56,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11x_cls6_formal_200ep\weights\epoch_056.pt,0.6819,0.9315,0.9842,0.6819
57,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11x_cls6_formal_200ep\weights\epoch_057.pt,0.6431,0.9353,0.9853,0.6431
58,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11x_cls6_formal_200ep\weights\epoch_058.pt,0.6681,0.9346,0.9849,0.6681
59,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11x_cls6_formal_200ep\weights\epoch_059.pt,0.6639,0.9402,0.9861,0.6611
60,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11x_cls6_formal_200ep\weights\epoch_060.pt,0.6722,0.9334,0.9840,0.6722
61,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11x_cls6_formal_200ep\weights\epoch_061.pt,0.6681,0.9277,0.9825,0.6681
62,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11x_cls6_formal_200ep\weights\epoch_062.pt,0.6639,0.9292,0.9836,0.6639
63,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11x_cls6_formal_200ep\weights\epoch_063.pt,0.6403,0.9330,0.9847,0.6417
64,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11x_cls6_formal_200ep\weights\epoch_064.pt,0.6611,0.9456,0.9877,0.6611
65,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11x_cls6_formal_200ep\weights\epoch_065.pt,0.6556,0.9412,0.9867,0.6556
66,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11x_cls6_formal_200ep\weights\epoch_066.pt,0.6722,0.9387,0.9860,0.6708
67,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11x_cls6_formal_200ep\weights\epoch_067.pt,0.6750,0.9343,0.9843,0.6750
68,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11x_cls6_formal_200ep\weights\epoch_068.pt,0.6667,0.9378,0.9862,0.6653
69,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11x_cls6_formal_200ep\weights\epoch_069.pt,0.6667,0.9367,0.9857,0.6667
70,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11x_cls6_formal_200ep\weights\epoch_070.pt,0.6472,0.9331,0.9845,0.6472
71,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11x_cls6_formal_200ep\weights\epoch_071.pt,0.6653,0.9392,0.9862,0.6653
72,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11x_cls6_formal_200ep\weights\epoch_072.pt,0.6708,0.9320,0.9845,0.6708
73,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11x_cls6_formal_200ep\weights\epoch_073.pt,0.6500,0.9339,0.9851,0.6500
74,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11x_cls6_formal_200ep\weights\epoch_074.pt,0.6542,0.9449,0.9882,0.6542
75,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11x_cls6_formal_200ep\weights\epoch_075.pt,0.6611,0.9377,0.9862,0.6625
