epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
33,6985.42,0.26335,0.90892,1,0.22572,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,7193.37,0.2629,0.90904,1,0.22566,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,7400.07,0.26271,0.90921,1,0.22549,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,7606.58,0.2617,0.90933,1,0.22553,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,7813.23,0.26281,0.90929,1,0.22579,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,8018.98,0.26038,0.90942,1,0.22582,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,8225.34,0.25938,0.90921,1,0.22604,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,8432.88,0.26063,0.90946,1,0.22596,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,8639.37,0.25874,0.90975,1,0.22514,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,8845.17,0.259,0.90971,1,0.22507,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,9052.33,0.25886,0.91004,1,0.22459,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,9258.51,0.25692,0.91025,1,0.22425,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,9465.95,0.25659,0.91008,1,0.22373,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
