"run_dir","removed_file","removed_size_bytes"
"H:\stage1_info_sampling_lite_pt_files\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep","epoch128.pt","41662079"
"H:\stage1_info_sampling_lite_pt_files\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep","epoch129.pt","41662143"
"H:\stage1_info_sampling_lite_pt_files\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep","epoch13.pt","41655423"
"H:\stage1_info_sampling_lite_pt_files\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep","epoch130.pt","41662207"
"H:\stage1_info_sampling_lite_pt_files\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep","epoch131.pt","41662207"
"H:\stage1_info_sampling_lite_pt_files\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep","epoch132.pt","41662271"
"H:\stage1_info_sampling_lite_pt_files\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep","epoch133.pt","41662335"
"H:\stage1_info_sampling_lite_pt_files\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep","epoch134.pt","41662399"
"H:\stage1_info_sampling_lite_pt_files\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep","epoch135.pt","41662463"
"H:\stage1_info_sampling_lite_pt_files\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep","epoch136.pt","41662527"
"H:\stage1_info_sampling_lite_pt_files\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep","epoch137.pt","41662591"
"H:\stage1_info_sampling_lite_pt_files\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep","epoch138.pt","41662655"
"H:\stage1_info_sampling_lite_pt_files\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep","epoch139.pt","41662719"
"H:\stage1_info_sampling_lite_pt_files\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep","epoch14.pt","41655423"
"H:\stage1_info_sampling_lite_pt_files\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep","epoch140.pt","41662783"
"H:\stage1_info_sampling_lite_pt_files\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep","epoch141.pt","41662847"
