epoch,checkpoint_file,checkpoint_path,accuracy,auroc,auprc
49,epoch48.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11s_cls6_formal_200ep\weights\epoch_049.pt,0.627778,0.930792,0.982094
50,epoch49.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11s_cls6_formal_200ep\weights\epoch_050.pt,0.638889,0.937625,0.985673
51,epoch50.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11s_cls6_formal_200ep\weights\epoch_051.pt,0.675,0.929667,0.98191
52,epoch51.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11s_cls6_formal_200ep\weights\epoch_052.pt,0.655556,0.938542,0.984668
53,epoch52.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11s_cls6_formal_200ep\weights\epoch_053.pt,0.651389,0.941083,0.986137
54,epoch53.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11s_cls6_formal_200ep\weights\epoch_054.pt,0.638889,0.938542,0.984627
55,epoch54.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11s_cls6_formal_200ep\weights\epoch_055.pt,0.661111,0.936167,0.98454
56,epoch55.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11s_cls6_formal_200ep\weights\epoch_056.pt,0.638889,0.934583,0.983834
57,epoch56.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11s_cls6_formal_200ep\weights\epoch_057.pt,0.645833,0.938806,0.98437
58,epoch57.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11s_cls6_formal_200ep\weights\epoch_058.pt,0.666667,0.937222,0.983454
59,epoch58.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11s_cls6_formal_200ep\weights\epoch_059.pt,0.648611,0.938931,0.984401
60,epoch59.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11s_cls6_formal_200ep\weights\epoch_060.pt,0.673611,0.939,0.984934
61,epoch60.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11s_cls6_formal_200ep\weights\epoch_061.pt,0.656944,0.93575,0.984222
62,epoch61.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11s_cls6_formal_200ep\weights\epoch_062.pt,0.65,0.937972,0.984809
63,epoch62.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11s_cls6_formal_200ep\weights\epoch_063.pt,0.640278,0.935556,0.984052
64,epoch63.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11s_cls6_formal_200ep\weights\epoch_064.pt,0.6625,0.935875,0.985363
65,epoch64.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11s_cls6_formal_200ep\weights\epoch_065.pt,0.638889,0.941694,0.984851
66,epoch65.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11s_cls6_formal_200ep\weights\epoch_066.pt,0.658333,0.936597,0.983992
67,epoch66.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11s_cls6_formal_200ep\weights\epoch_067.pt,0.648611,0.940194,0.983621
68,epoch67.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11s_cls6_formal_200ep\weights\epoch_068.pt,0.658333,0.936361,0.983363
69,epoch68.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11s_cls6_formal_200ep\weights\epoch_069.pt,0.654167,0.941417,0.986641
70,epoch69.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11s_cls6_formal_200ep\weights\epoch_070.pt,0.665278,0.941819,0.986655
71,epoch70.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11s_cls6_formal_200ep\weights\epoch_071.pt,0.648611,0.938722,0.985131
72,epoch71.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11s_cls6_formal_200ep\weights\epoch_072.pt,0.6625,0.937125,0.984708
73,epoch72.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11s_cls6_formal_200ep\weights\epoch_073.pt,0.655556,0.928639,0.982497
74,epoch73.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11s_cls6_formal_200ep\weights\epoch_074.pt,0.669444,0.930083,0.982385
75,epoch74.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11s_cls6_formal_200ep\weights\epoch_075.pt,0.676389,0.932917,0.982526
76,epoch75.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11s_cls6_formal_200ep\weights\epoch_076.pt,0.645833,0.936125,0.984351
77,epoch76.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11s_cls6_formal_200ep\weights\epoch_077.pt,0.641667,0.937681,0.984658
78,epoch77.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11s_cls6_formal_200ep\weights\epoch_078.pt,0.656944,0.936319,0.984492
79,epoch78.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11s_cls6_formal_200ep\weights\epoch_079.pt,0.670833,0.936208,0.982695
80,epoch79.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11s_cls6_formal_200ep\weights\epoch_080.pt,0.655556,0.935389,0.983775
