variant,variant_desc,threshold,tp,fn,fp,tn,recall,precision,specificity,fpr,fnr,npv,accuracy,f1,ptr,normal_filtered,normal_left,abnormal_kept,abnormal_missed
P1,p_abnormal + uncertainty,0.17,420,0,84,0,1.0,0.833333,0.0,1.0,0.0,0.0,0.833333,0.909091,1.0,0,84,420,0
P1,p_abnormal + uncertainty,0.18,420,0,84,0,1.0,0.833333,0.0,1.0,0.0,0.0,0.833333,0.909091,1.0,0,84,420,0
P1,p_abnormal + uncertainty,0.19,420,0,84,0,1.0,0.833333,0.0,1.0,0.0,0.0,0.833333,0.909091,1.0,0,84,420,0
P1,p_abnormal + uncertainty,0.2,420,0,84,0,1.0,0.833333,0.0,1.0,0.0,0.0,0.833333,0.909091,1.0,0,84,420,0
P1,p_abnormal + uncertainty,0.21,420,0,84,0,1.0,0.833333,0.0,1.0,0.0,0.0,0.833333,0.909091,1.0,0,84,420,0
P1,p_abnormal + uncertainty,0.22,420,0,84,0,1.0,0.833333,0.0,1.0,0.0,0.0,0.833333,0.909091,1.0,0,84,420,0
P1,p_abnormal + uncertainty,0.23,420,0,84,0,1.0,0.833333,0.0,1.0,0.0,0.0,0.833333,0.909091,1.0,0,84,420,0
P1,p_abnormal + uncertainty,0.24,420,0,84,0,1.0,0.833333,0.0,1.0,0.0,0.0,0.833333,0.909091,1.0,0,84,420,0
P1,p_abnormal + uncertainty,0.25,420,0,84,0,1.0,0.833333,0.0,1.0,0.0,0.0,0.833333,0.909091,1.0,0,84,420,0
P1,p_abnormal + uncertainty,0.26,420,0,84,0,1.0,0.833333,0.0,1.0,0.0,0.0,0.833333,0.909091,1.0,0,84,420,0
P1,p_abnormal + uncertainty,0.27,420,0,82,2,1.0,0.836653,0.02381,0.97619,0.0,1.0,0.837302,0.911063,0.996032,2,82,420,0
P1,p_abnormal + uncertainty,0.28,420,0,78,6,1.0,0.843373,0.071429,0.928571,0.0,1.0,0.845238,0.915033,0.988095,6,78,420,0
P1,p_abnormal + uncertainty,0.29,420,0,70,14,1.0,0.857143,0.166667,0.833333,0.0,1.0,0.861111,0.923077,0.972222,14,70,420,0
P1,p_abnormal + uncertainty,0.3,419,1,67,17,0.997619,0.86214,0.202381,0.797619,0.002381,0.944444,0.865079,0.924945,0.964286,17,67,419,1
P1,p_abnormal + uncertainty,0.31,419,1,64,20,0.997619,0.867495,0.238095,0.761905,0.002381,0.952381,0.871032,0.928018,0.958333,20,64,419,1
P1,p_abnormal + uncertainty,0.32,419,1,58,26,0.997619,0.878407,0.309524,0.690476,0.002381,0.962963,0.882937,0.934225,0.946429,26,58,419,1
P1,p_abnormal + uncertainty,0.33,419,1,57,27,0.997619,0.880252,0.321429,0.678571,0.002381,0.964286,0.884921,0.935268,0.944444,27,57,419,1
P1,p_abnormal + uncertainty,0.34,419,1,51,33,0.997619,0.891489,0.392857,0.607143,0.002381,0.970588,0.896825,0.941573,0.93254,33,51,419,1
P1,p_abnormal + uncertainty,0.35,419,1,46,38,0.997619,0.901075,0.452381,0.547619,0.002381,0.974359,0.906746,0.946893,0.922619,38,46,419,1
P1,p_abnormal + uncertainty,0.36,418,2,45,39,0.995238,0.902808,0.464286,0.535714,0.004762,0.95122,0.906746,0.946772,0.918651,39,45,418,2
P1,p_abnormal + uncertainty,0.37,418,2,45,39,0.995238,0.902808,0.464286,0.535714,0.004762,0.95122,0.906746,0.946772,0.918651,39,45,418,2
P1,p_abnormal + uncertainty,0.38,417,3,44,40,0.992857,0.904555,0.47619,0.52381,0.007143,0.930233,0.906746,0.946652,0.914683,40,44,417,3
P1,p_abnormal + uncertainty,0.39,417,3,44,40,0.992857,0.904555,0.47619,0.52381,0.007143,0.930233,0.906746,0.946652,0.914683,40,44,417,3
P1,p_abnormal + uncertainty,0.4,416,4,42,42,0.990476,0.908297,0.5,0.5,0.009524,0.913043,0.90873,0.947608,0.90873,42,42,416,4
P1,p_abnormal + uncertainty,0.41,416,4,41,43,0.990476,0.910284,0.511905,0.488095,0.009524,0.914894,0.910714,0.948689,0.906746,43,41,416,4
P1,p_abnormal + uncertainty,0.42,416,4,39,45,0.990476,0.914286,0.535714,0.464286,0.009524,0.918367,0.914683,0.950857,0.902778,45,39,416,4
P1,p_abnormal + uncertainty,0.43,416,4,35,49,0.990476,0.922395,0.583333,0.416667,0.009524,0.924528,0.922619,0.955224,0.894841,49,35,416,4
P1,p_abnormal + uncertainty,0.44,415,5,35,49,0.988095,0.922222,0.583333,0.416667,0.011905,0.907407,0.920635,0.954023,0.892857,49,35,415,5
P1,p_abnormal + uncertainty,0.45,414,6,34,50,0.985714,0.924107,0.595238,0.404762,0.014286,0.892857,0.920635,0.953917,0.888889,50,34,414,6
P1,p_abnormal + uncertainty,0.46,414,6,32,52,0.985714,0.928251,0.619048,0.380952,0.014286,0.896552,0.924603,0.95612,0.884921,52,32,414,6
P1,p_abnormal + uncertainty,0.47,414,6,30,54,0.985714,0.932432,0.642857,0.357143,0.014286,0.9,0.928571,0.958333,0.880952,54,30,414,6
P1,p_abnormal + uncertainty,0.48,369,51,21,63,0.878571,0.946154,0.75,0.25,0.121429,0.552632,0.857143,0.911111,0.77381,63,21,369,51
P1,p_abnormal + uncertainty,0.49,273,147,15,69,0.65,0.947917,0.821429,0.178571,0.35,0.319444,0.678571,0.771186,0.571429,69,15,273,147
P1,p_abnormal + uncertainty,0.5,16,404,6,78,0.038095,0.727273,0.928571,0.071429,0.961905,0.161826,0.186508,0.072398,0.043651,78,6,16,404
P1,p_abnormal + uncertainty,0.51,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P1,p_abnormal + uncertainty,0.52,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P1,p_abnormal + uncertainty,0.53,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P1,p_abnormal + uncertainty,0.54,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
