paper_id,selection_role,title,page_count,heading_count,evidence_candidate_count,method_heading_count,experiment_heading_count,ablation_heading_count,limitation_heading_count,conclusion_heading_count,packet_path,packet_sha256,reading_credit_granted
P0065,PRIMARY,Smart Cuts: Enhance Active Learning for Vulnerability Detection by Pruning Hard-to-Learn Data,21,18,35,12,2,0,3,1,packets/P0065.md,60C8C4B0349695D16E84A8CAC730BF54A0BFBAE9ECECE5F8E53777C473BABFF7,False
P0066,PRIMARY,Neyman-Pearson and equal opportunity: when efficiency meets fairness in classification,110,24,6,22,0,0,1,1,packets/P0066.md,1E994A91F0177597A95189D5E8869697F85B9954A27BBBE02893A4777DA2B21F,False
P0067,PRIMARY,Adaptive Ranking-based Sample Selection for Weakly Supervised Class-imbalanced Text Classification,15,16,11,11,3,0,1,1,packets/P0067.md,2A25CE68DE4597B2EC60CD684D0EC5D9925E71127D3B22B2850A4496DC89A9FB,False
P0068,PRIMARY,Mechanistic Data Attribution: Tracing the Training Origins of Interpretable LLM Units,33,8,24,5,1,0,0,2,packets/P0068.md,370BA1B8A2A1D3F164F20FFE29FDB89B40DADC9B44A58BCA2EC0C7B40D1CC30B,False
P0071,RESERVE,IDER: IDempotent Experience Replay for Reliable Continual Learning,20,15,15,13,2,0,0,0,packets/P0071.md,56B43555935EC0E4DBF86E60A5637759BBA7EAFEAD3AECA0DEE065BDF25CFEB1,False
P0072,RESERVE,radarODE-MTL: A Multi-Task Learning Framework with Eccentric Gradient Alignment for Robust Radar-Based ECG Reconstruction,15,8,7,8,0,0,0,0,packets/P0072.md,0E39CFDF5D3AE16E052A3D414BCAAA42344D41C26B9CCC95EF3DEEBE63E9C91A,False
P0073,PRIMARY,"Deep Batch Active Learning by Diverse, Uncertain Gradient Lower Bounds",26,10,25,10,0,0,0,0,packets/P0073.md,94E3DF146CAF4DCC36457F8A2F6051293F79298DB29BCE38A8C0386909F6BC57,False
P0074,PRIMARY,Tightening Control in Neyman--Pearson Linear Classification,24,3,6,2,0,0,1,0,packets/P0074.md,963637FE3D01BCE65B99D96CB47FDD24798B99990866939B0C420B9F26BD3B0B,False
P0075,PRIMARY,A Neyman-Pearson Approach to Statistical Learning,30,3,3,2,0,0,0,1,packets/P0075.md,9266F3AE7D0760CB427782D947B1F6D2A8FEA8172B775CFDEF1DC7BDE65E6657,False
P0078,PRIMARY,Concept Influence: Leveraging Interpretability to Improve Performance and Efficiency in Training Data Attribution,23,8,6,4,1,0,1,2,packets/P0078.md,C6B8E5A382FF67C1B67B09EECF6BC22A599B7BB2C30B234ECA5322B192548494,False
P0079,PRIMARY,Sample Selection with Uncertainty of Losses for Learning with Noisy Labels,26,35,4,21,12,1,0,1,packets/P0079.md,50F4705C0258AC6FBEC8AA93F7B380B3BFEE7D70FA5F15BE33B4EB87B39A11CC,False
P0081,PRIMARY,Data Attribution in Large Language Models via Bidirectional Gradient Optimization,7,12,8,7,4,0,1,0,packets/P0081.md,BAE20A83019CFC5B963784460103FD8AC6400B65C29AB1EC1D4B91D6CA680333,False
P0082,PRIMARY,Learning from Long-Tailed Noisy Data with Sample Selection and Balanced Loss,17,14,2,7,5,1,0,1,packets/P0082.md,192B9582C740DEDF00BD08A7F84B9274975555032F9EB478F898A19B3A4EA7C5,False
P0083,RESERVE,Training Data Attribution for Image Generation using Ontology-Aligned Knowledge Graphs,9,12,2,5,7,0,0,0,packets/P0083.md,37C964CE108E123AF64B2E268C863DB6ED25762C28AC29BDCAB56945002E0324,False
P0085,PRIMARY,Multi-Objective Interpolation Training for Robustness to Label Noise,10,5,3,3,0,1,0,1,packets/P0085.md,C2532A9C5E3BE06AAF3E9ED831FB28B6FF98CF75BF6336C977200C488889D320,False
P0087,PRIMARY,A Simple and Efficient Baseline for Data Attribution on Images,18,15,8,10,2,0,2,1,packets/P0087.md,43827211B5F2D9CAB3A408D19170C751147C2AA8F3BBAAB856776065BD7611A7,False
P0092,PRIMARY,CurGraph: Curriculum Learning for Graph Classification,11,10,2,7,0,0,2,1,packets/P0092.md,CA944DE58544EBDCE58E80977A7957D76622DE76A38EC6458CAA378D35982EBE,False
P0095,PRIMARY,Multi-Label Noise Robust Collaborative Learning for Remote Sensing Image Classification,14,11,4,9,1,1,0,0,packets/P0095.md,4F0055D0B46D9433DA562D44BBA62BC9A7EEDBF63FABADCBC53E8715C9E94DA8,False
P0096,PRIMARY,Hierarchical Neyman-Pearson Classification for Prioritizing Severe Disease Categories in COVID-19 Patient Data,79,26,0,25,0,0,1,0,packets/P0096.md,B4C8A3DB8F0FDECE29F91BC6C8DDF48E374430BB29CBCEA93CF0DAFEA8F49014,False
P0097,PRIMARY,Learn like a Pathologist: Curriculum Learning by Annotator Agreement for Histopathology Image Classification,13,5,2,1,3,0,1,0,packets/P0097.md,0C29BAE1F90380475B2A1E12A5B88A6FA9BFBC2C9E921B2B87A768F3F46DB94F,False
P0098,PRIMARY,Influence Dynamics and Stagewise Data Attribution,32,7,6,4,1,1,1,0,packets/P0098.md,FE5F3DDC89E13D2831293567AC5D0D4930DEE34D94B8F391797FFF137EB4EEE4,False
P0099,PRIMARY,DynClean: Training Dynamics-based Label Cleaning for Distantly-Supervised Named Entity Recognition,17,15,4,9,3,1,1,1,packets/P0099.md,401296039D11725BD705E2CF05FDAD7F55BDEB572DD4BA42B1EED5EF9354DC25,False
P0102,PRIMARY,Data Pruning by Information Maximization,22,11,25,8,3,0,0,0,packets/P0102.md,48D0FC631DA69BF956E64BE8C7DE8AA0A4FE570F20D835BDBA3D71C0995229CD,False
P0103,PRIMARY,Data pruning and neural scaling laws: fundamental limitations of score-based algorithms,41,19,28,17,1,0,1,0,packets/P0103.md,565F723CB71EBA3970731E87CD6DA5C068225A2F0AE5FAEF6C9F6A42F7A71840,False
P0104,PRIMARY,Active Bias: Training More Accurate Neural Networks by Emphasizing High Variance Samples,11,7,2,5,1,0,0,1,packets/P0104.md,0963E37204F70EAD4A3521B489EB402DEA257AF3816CAA0E158ED0F10EF45E45,False
P0106,PRIMARY,Investigating Active-Learning-Based Training Data Selection for Speech Spoofing Countermeasure,8,10,29,7,3,0,0,0,packets/P0106.md,F9ECAD91D2C7A317C12B76A279697B1228525BA8684DFD0F46E7854AFE64E6FB,False
P0107,PRIMARY,Reinforced Training Data Selection for Domain Adaptation,12,8,1,4,1,1,1,1,packets/P0107.md,317CE1FCC24B42EB0D8BBBA9403ABF48150439D691BEDC31F869215290A4F357,False
P0111,PRIMARY,SEED: Targeted Data Selection by Weighted Independent Set,20,13,40,7,3,2,0,1,packets/P0111.md,6807A261EC49339ED43D3026E9ABF50E325A4C64D2920E16529BD06E5E205609,False
P0112,PRIMARY,UNICON: Combating Label Noise Through Uniform Selection and Contrastive Learning,17,13,14,11,0,1,1,0,packets/P0112.md,6C4F438BCC1608ACBA0EF21EA3D912477028C2B68D687839223CB5AE085679EC,False
P0113,PRIMARY,ANNE: Adaptive Nearest Neighbors and Eigenvector-based Sample Selection for Robust Learning with Noisy Labels,31,22,3,17,2,2,0,1,packets/P0113.md,021BBFE0C474EAC181045BFF7292EFE8060ECA374678C04D4AD3D5F66BADB46B,False
P0115,PRIMARY,Improving Data Quality with Training Dynamics of Gradient Boosting Decision Trees,17,10,1,6,3,0,0,1,packets/P0115.md,E2CD023E0F647339E3EF94062BC9903DA4B88AF51ADC08A26A01F87B4F5FA92D,False
P0116,PRIMARY,InfoBatch: Lossless Training Speed Up by Unbiased Dynamic Data Pruning,19,15,9,10,3,0,2,0,packets/P0116.md,B31FE974CB140FA878624ACD49FA477B331620B17E8623A19C7C0635F906397B,False
P0117,PRIMARY,PDAC: Efficient Coreset Selection for Continual Learning via Probability Density Awareness,17,13,33,9,3,0,0,1,packets/P0117.md,0C056F2500FF6124F67E326D218EA046DCCEEB0669489707E88C76DA47038E6D,False
P0118,PRIMARY,Generic and Trend-aware Curriculum Learning for Relation Extraction,12,8,2,5,2,0,0,1,packets/P0118.md,C3F73609D37A2F835C07190DD4DDAE7BD5264D92913B3196E100F54957F24518,False
P0120,PRIMARY,Few-Medoids: An Embarrassingly Simple Coreset Selection Method for Few-Shot Knowledge Distillation,10,10,45,6,3,0,0,1,packets/P0120.md,3DCE2A7A5A87E62257A140D22A9328FF9EAB7A7700D4CCD5C287E6F73CE77FE0,False
P0122,PRIMARY,Semi-Supervised Learning for Maximizing the Partial AUC,8,7,3,7,0,0,0,0,packets/P0122.md,4FAE259924A5960B912F17AC0FA52628728B4AF42653287DBCBFCE48A71D5B49,False
P0123,PRIMARY,Automatic Lecture Transcription Based on Discriminative Data Selection for Lightly Supervised Acoustic Model Training,8,6,1,2,2,0,0,2,packets/P0123.md,8F87EB4EDC77186D68EC62A71E4DF0A379FF48D59CF497D289C494D91BC6F998,False
P0125,PRIMARY,DsDm: Model-Aware Dataset Selection with Datamodels,36,8,40,5,3,0,0,0,packets/P0125.md,09CAF52EEF311211D36A2C0DBACA9E943725EE65817B7D909B513927734A36F3,False
P0128,PRIMARY,Changing the Training Data Distribution to Reduce Simplicity Bias Improves In-distribution Generalization,43,20,10,7,5,0,7,1,packets/P0128.md,150E0E5BD8700BCDED80CA53D98FE3AF57DF44C2D88B6B2345D9CF1B2354D70A,False
P0129,RESERVE,Addressing Multi-Label Learning with Partial Labels: From Sample Selection to Label Selection,9,11,0,6,4,1,0,0,packets/P0129.md,DB0BC1BD000B80ABAE9C3D925DE7E76E6798F54A4BDC0B8AFFC290A935AF599B,False
P0130,PRIMARY,Reducing annotation effort in agricultural data: simple and fast unsupervised coreset selection with DINOv2 and K-means,15,18,27,11,7,0,0,0,packets/P0130.md,605B5A01C28697670A27643A11819B82250C0601A9C371375FFE6FBAA71FB2A6,False
P0136,PRIMARY,Zero-Shot Coreset Selection via Iterative Subspace Sampling,19,11,25,5,4,1,0,1,packets/P0136.md,2404F8D55A806F0C05D7E11373185F875225E8E12FC518AE5247706B657E17AB,False
P0137,PRIMARY,Rethinking Data Selection at Scale: Random Selection is Almost All You Need,14,17,16,11,3,0,2,1,packets/P0137.md,91A6E7545A7D1FD6780844AFB917C40ED57D19D06A1688318EFD4E49CCD2BE90,False
P0138,PRIMARY,Scheduled Dialog Policy Learning: An Automatic Curriculum Learning Framework for Task-oriented Dialog System,12,3,0,1,1,0,0,1,packets/P0138.md,9C3C73A878B9AED86C70088901E92ACD0233B6EB743A900C4193AD9F1D837D5F,False
P0139,PRIMARY,Error Sensitivity Modulation based Experience Replay: Mitigating Abrupt Representation Drift in Continual Learning,18,8,10,5,2,1,0,0,packets/P0139.md,0407E6D60C37F8EE11365878BFA9F73DF21C3BDFA43B16D3797BD74CE395FD84,False
P0142,PRIMARY,Learn the Time to Learn: Replay Scheduling in Continual Learning,56,81,36,69,9,0,2,1,packets/P0142.md,B21FD4A12C92BC1CEA877B70206BA086AC03C15AFF1B912D1370D1DB605D3C6B,False
P0143,PRIMARY,Learning from Training Dynamics: Identifying Mislabeled Data beyond Manually Designed Features,9,7,0,7,0,0,0,0,packets/P0143.md,01F3E61EFA5B252C3F1C8AA1772762DC6150BE938965384F0E229CD95AC1F203,False
P0145,PRIMARY,Identifying Mislabeled Data using the Area Under the Margin Ranking,17,7,6,4,1,0,2,0,packets/P0145.md,9B942B389822F2E35DF3B5D4E2DDF55C9E0E842CA431E2A4A0A7E4B2BD31ADE7,False
P0149,PRIMARY,Data Selection for Language Models via Importance Resampling,32,14,52,11,1,0,1,1,packets/P0149.md,C9EDF873A2F235D89556DE9750EB0A5466FFFE2B1C3DEADB718B8A4EA804DBB7,False
P0151,PRIMARY,Interpreting single-cell and spatial omics data using deep neural network training dynamics,19,3,1,3,0,0,0,0,packets/P0151.md,6FA7E144591E6FA694BB28705FB9EABED10F90A639DE925070A54B9FE0A9BB2D,False
P0154,PRIMARY,”Diversity and Uncertainty in Moderation” are the Key to Data Selection for Multilingual Few-shot Transfer,14,20,10,13,5,0,2,0,packets/P0154.md,376EF4EE764F46D1E91908B7CCEEB9CD5487E2078A2EB334CEEF211E6A8AB3FA,False
P0155,PRIMARY,\emph{FoQuS}: A Forgetting-Quality Coreset Selection Framework for Automatic Modulation Recognition,5,6,20,6,0,0,0,0,packets/P0155.md,5EEBF0D57436DB534A35F274A6E48D09BBC8E0BE74834DCB3FB9BCE411564A8B,False
P0156,PRIMARY,Utility-Diversity Aware Online Batch Selection for LLM Supervised Fine-tuning,23,15,16,10,1,1,2,1,packets/P0156.md,8AD44DBB1F46A3FA3A7C202A0C69331C6AE2EB42ACF98245ED595E543102CA64,False
P0157,RESERVE,Unsupervised feature selection via self-paced learning and low-redundant regularization,23,10,1,6,3,0,0,1,packets/P0157.md,DE21C455E956CA249B28392BC0FC9814C9A7B9E835B3D24F4040103912E27A1C,False
P0158,PRIMARY,Luck Matters: Understanding Training Dynamics of Deep ReLU Networks,23,5,6,1,3,0,0,1,packets/P0158.md,1DC09A123F3A5D7B408FD9A80695B55E4C50BC3CDA08A30467731E9DE41F747E,False
P0159,PRIMARY,Language Model-Driven Data Pruning Enables Efficient Active Learning,20,10,16,8,1,0,1,0,packets/P0159.md,04F7E0140ECE7969100D82181CC9E5D72D8DE4DB00B345526303EBBFEE2D4FBF,False
P0160,PRIMARY,Adversarial Shapley Value Experience Replay for Task-Free Continual Learning.,14,19,6,14,5,0,0,0,packets/P0160.md,0EFBC2D6BCB72D7E5D2AD89B0A31C412F51DC494AC8E02C6C7B9D5B4076BA13B,False
P0162,PRIMARY,Data Pruning via Moving-one-Sample-out,12,13,20,9,1,0,2,1,packets/P0162.md,7AA1F5DCA48A3AC9D8CEF1386C9B611E305ACF92CAEFD12EE11D49A163D07C90,False
P0164,PRIMARY,Not All Data Matters: An End-to-End Adaptive Dataset Pruning Framework for Enhancing Model Performance and Efficiency,17,5,7,2,2,1,0,0,packets/P0164.md,022D0B8AAFBF27DFBA43072236689914AD981B51FBDBB763348E78798CB3E606,False
P0165,PRIMARY,MODE: Multi-Objective Adaptive Coreset Selection,37,16,24,11,2,1,1,1,packets/P0165.md,AB71A05FDA2E62CA3E1A559DAB7AECF80691DD0A7B2F680DC6E619A23E472CB8,False
P0167,PRIMARY,MATES: Model-Aware Data Selection for Efficient Pretraining with Data Influence Models,19,10,39,5,2,1,1,1,packets/P0167.md,444E253352CD434A5443597850DA73E8064734A07DA614D851BC7ED101472155,False
P0170,PRIMARY,Non-splitting Neyman-Pearson Classifiers,61,15,6,13,0,0,2,0,packets/P0170.md,26583C0398BC6655BFF33129172DF4D687D294BDF301D772D74949CFA1026CB1,False
P0171,PRIMARY,CLIPCleaner: Cleaning Noisy Labels with CLIP,57,8,1,7,1,0,0,0,packets/P0171.md,78DD89AE0283900745F6A5782DD99AEB970B9DB7F82FD4F55D443D3B4256DBDE,False
P0172,PRIMARY,ToReMi: Topic-Aware Data Reweighting for Dynamic Pre-Training Data Selection,12,11,1,8,2,0,1,0,packets/P0172.md,F5494B7B4AA762A651A46C8E01B09B89A3569551E383C5DA66AA7A4B2F038DF7,False
P0173,PRIMARY,GRAD-MATCH: Gradient Matching based Data Subset Selection for Efficient Deep Model Training,33,11,32,8,2,1,0,0,packets/P0173.md,0FC7461A49F0545D313389699CC710AB91D4F8A248FDA7DF9068ECEF6A0DABE2,False
P0175,PRIMARY,Towards High Supervised Learning Utility Training Data Generation: Data Pruning and Column Reordering,11,13,1,9,4,0,0,0,packets/P0175.md,FF169A96870095FA7FB8CCAEA748757FB95DA88AEE979729D4AC2763BE33694B,False
P0176,PRIMARY,Competence-based Curriculum Learning for Neural Machine Translation,11,12,0,8,3,0,0,1,packets/P0176.md,935430B36A0F8D6EE5FD344D3607BF20EBE4D2DB753FB0A89CD629BE7EF034A0,False
P0178,PRIMARY,Anti-Backdoor Coreset Selection via Cumulative Entropy,22,7,29,1,2,1,2,1,packets/P0178.md,8C405F482611A2511E0B0336EB79A3857B1E59A28057C288310CFF356D85D54C,False
P0179,PRIMARY,Measuring Fine-Grained Relatedness in Multitask Learning via Data Attribution,20,10,15,5,3,0,1,1,packets/P0179.md,6189A54C1D06FDA2B445E5DFF671DC7F2D1E65EFB6A96136432803562BF40B26,False
P0180,PRIMARY,Sample Selection Approach with Number of False Predictions for Learning with Noisy Labels,10,5,1,2,0,1,1,1,packets/P0180.md,913DF47035AF322D590A06C66CE1575BC26C5EC0D9A378F4A01AD833AD26EF72,False
P0181,RESERVE,OER: Offline Experience Replay for Continual Offline Reinforcement Learning,10,7,4,5,1,0,0,1,packets/P0181.md,15CDC8EDDF8CD2AC8274435E718C7D9B206768EA308F3D36A13E5AE4B803A93B,False
P0182,PRIMARY,Dynamically Composing Domain-Data Selection with Clean-Data Selection by “Co-Curricular Learning” for Neural Machine Translation,11,5,6,2,2,0,1,0,packets/P0182.md,26CF7A32BBEFB7FA5F825AF37BAEB741A3B49E762CB9E7C7486FA77663F26009,False
P0184,PRIMARY,On The Power of Curriculum Learning in Training Deep Networks,13,5,3,2,1,0,1,1,packets/P0184.md,71F2B23D2C25A5F16D357FF7AFFCD1265F00C8E0A15C11F04DE6C83527C49EC2,False
P0185,PRIMARY,Adaptive Integration of Partial Label Learning and Negative Learning for Enhanced Noisy Label Learning,9,9,6,6,1,1,1,0,packets/P0185.md,6D081DE7E955A8A7E17BA5B9E0D01924E1DCE0FBE1F460089089AD57E032F767,False
P0186,PRIMARY,Neyman-Pearson Multi-class Classification via Cost-sensitive Learning,114,29,6,28,0,0,0,1,packets/P0186.md,0125F47177E9AE3A56D78CD5FE5FF510E566D613808809F2AA399D0614835DC3,False
P0187,RESERVE,Using Hindsight to Anchor Past Knowledge in Continual Learning,9,5,5,4,1,0,0,0,packets/P0187.md,B8C931B148540ABC6AC011308523F39A2481C4756AC194AAEEDC8CE707565981,False
P0188,PRIMARY,Label-Efficient Dataset Pruning via Semi-Supervised Pseudo-Labeling,22,19,30,14,2,1,1,1,packets/P0188.md,626EA01D7C190D5FA8D2BB5FE331726E0E9E6B1860280300E6E7E34D0317C5F9,False
P0189,PRIMARY,Logistic push: a regression framework for partial AUC optimization,8,3,2,1,1,0,1,0,packets/P0189.md,42516E51AB8F0F3C8DF251AC2B78C3A51113619A295B6E5229B3ADD535034C63,False
P0191,RESERVE,Personalized Federated Learning for Gradient Alignment,14,6,6,4,1,0,0,1,packets/P0191.md,69663E6646DA2B4B8FCD4368CEC828FB563C50E1B9041CD78155DA9B2C9B47CA,False
P0192,RESERVE,A Novel Text Sample Selection Model for Scene Text Detection via Bootstrap Learning,19,12,6,8,3,0,0,1,packets/P0192.md,36D1857E5D0F7586A72464FC321F3650B87EFA0A1DD5775A66AA84FC36784943,False
P0193,PRIMARY,BRIEF: Bi-Level Coreset Selection for Efficient Instruction Tuning in LLMs,14,10,25,4,5,0,0,1,packets/P0193.md,F560E8A4590B6E205ECCF821B5A1418B14DFCDF949336D0C1A6568BF4CD7AC8D,False
