threshold,precision,recall,f1,tp,fn,fp,tn
0.999908,0.996109,0.426667,0.597433,256,344,1,119
0.999906,0.996139,0.43,0.600698,258,342,1,119
0.999905,0.996154,0.431667,0.602326,259,341,1,119
0.999903,0.996169,0.433333,0.603949,260,340,1,119
0.999903,0.992366,0.433333,0.603248,260,340,2,118
0.999902,0.992395,0.435,0.604867,261,339,2,118
0.999902,0.992395,0.435,0.604867,261,339,2,118
0.999899,0.992424,0.436667,0.606481,262,338,2,118
0.999898,0.992481,0.44,0.6097,264,336,2,118
0.999896,0.992481,0.44,0.6097,264,336,2,118
0.999893,0.992537,0.443333,0.612903,266,334,2,118
0.999892,0.992565,0.445,0.614499,267,333,2,118
0.999888,0.992593,0.446667,0.616092,268,332,2,118
0.999887,0.992593,0.446667,0.616092,268,332,2,118
0.999886,0.99262,0.448333,0.617681,269,331,2,118
0.999881,0.992674,0.451667,0.620848,271,329,2,118
0.999875,0.992701,0.453333,0.622426,272,328,2,118
0.999865,0.992701,0.453333,0.622426,272,328,2,118
0.999865,0.992727,0.455,0.624,273,327,2,118
0.999865,0.992754,0.456667,0.625571,274,326,2,118
0.99986,0.99278,0.458333,0.627138,275,325,2,118
0.999859,0.992832,0.461667,0.630262,277,323,2,118
0.99985,0.992832,0.461667,0.630262,277,323,2,118
0.999849,0.992883,0.465,0.633371,279,321,2,118
0.999845,0.992908,0.466667,0.634921,280,320,2,118
0.999844,0.992908,0.466667,0.634921,280,320,2,118
0.99984,0.992933,0.468333,0.636467,281,319,2,118
0.999836,0.992958,0.47,0.638009,282,318,2,118
0.999831,0.993007,0.473333,0.641084,284,316,2,118
0.999827,0.993007,0.473333,0.641084,284,316,2,118
0.999822,0.993056,0.476667,0.644144,286,314,2,118
0.999818,0.993056,0.476667,0.644144,286,314,2,118
0.999816,0.989655,0.478333,0.644944,287,313,3,117
0.999812,0.989655,0.478333,0.644944,287,313,3,117
0.999809,0.989691,0.48,0.646465,288,312,3,117
0.999805,0.989726,0.481667,0.647982,289,311,3,117
0.999791,0.989796,0.485,0.651007,291,309,3,117
0.999788,0.989831,0.486667,0.652514,292,308,3,117
0.999778,0.989831,0.486667,0.652514,292,308,3,117
0.999775,0.989865,0.488333,0.654018,293,307,3,117
0.999769,0.989899,0.49,0.655518,294,306,3,117
0.999769,0.989967,0.493333,0.658509,296,304,3,117
0.99976,0.99,0.495,0.66,297,303,3,117
0.999757,0.990033,0.496667,0.661487,298,302,3,117
0.999748,0.990033,0.496667,0.661487,298,302,3,117
0.999741,0.990066,0.498333,0.662971,299,301,3,117
0.999739,0.990099,0.5,0.664452,300,300,3,117
0.999732,0.990164,0.503333,0.667403,302,298,3,117
0.999727,0.990164,0.503333,0.667403,302,298,3,117
0.999714,0.990196,0.505,0.668874,303,297,3,117
0.999708,0.99026,0.508333,0.671806,305,295,3,117
0.999703,0.99026,0.508333,0.671806,305,295,3,117
0.9997,0.990291,0.51,0.673267,306,294,3,117
0.999699,0.990323,0.511667,0.674725,307,293,3,117
0.999697,0.990385,0.515,0.677632,309,291,3,117
0.999692,0.990385,0.515,0.677632,309,291,3,117
0.999691,0.990446,0.518333,0.680525,311,289,3,117
0.999685,0.990446,0.518333,0.680525,311,289,3,117
0.999679,0.990476,0.52,0.681967,312,288,3,117
0.99967,0.990506,0.521667,0.683406,313,287,3,117
0.999666,0.990566,0.525,0.686275,315,285,3,117
0.999661,0.990596,0.526667,0.687704,316,284,3,117
0.999651,0.990625,0.528333,0.68913,317,283,3,117
0.999651,0.990625,0.528333,0.68913,317,283,3,117
0.999633,0.990683,0.531667,0.691974,319,281,3,117
0.999623,0.990712,0.533333,0.693391,320,280,3,117
0.999619,0.990741,0.535,0.694805,321,279,3,117
0.99961,0.990741,0.535,0.694805,321,279,3,117
0.999608,0.990798,0.538333,0.697624,323,277,3,117
0.999603,0.990798,0.538333,0.697624,323,277,3,117
0.999597,0.990854,0.541667,0.700431,325,275,3,117
0.999578,0.990881,0.543333,0.70183,326,274,3,117
0.999577,0.990909,0.545,0.703226,327,273,3,117
0.999564,0.990909,0.545,0.703226,327,273,3,117
