epoch,checkpoint_file,checkpoint_path,accuracy,auroc,auprc
70,epoch69.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11n_cls6_formal_200ep\weights\epoch_070.pt,0.659722,0.939278,0.985967
71,epoch70.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11n_cls6_formal_200ep\weights\epoch_071.pt,0.640278,0.928625,0.982216
72,epoch71.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11n_cls6_formal_200ep\weights\epoch_072.pt,0.630556,0.925694,0.981975
73,epoch72.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11n_cls6_formal_200ep\weights\epoch_073.pt,0.663889,0.933097,0.983155
74,epoch73.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11n_cls6_formal_200ep\weights\epoch_074.pt,0.665278,0.935736,0.984505
75,epoch74.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11n_cls6_formal_200ep\weights\epoch_075.pt,0.663889,0.927625,0.982552
76,epoch75.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11n_cls6_formal_200ep\weights\epoch_076.pt,0.651389,0.926736,0.983306
77,epoch76.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11n_cls6_formal_200ep\weights\epoch_077.pt,0.661111,0.928944,0.983162
78,epoch77.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11n_cls6_formal_200ep\weights\epoch_078.pt,0.659722,0.930444,0.983118
79,epoch78.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11n_cls6_formal_200ep\weights\epoch_079.pt,0.663889,0.936417,0.985022
80,epoch79.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11n_cls6_formal_200ep\weights\epoch_080.pt,0.663889,0.937167,0.985388
81,epoch80.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11n_cls6_formal_200ep\weights\epoch_081.pt,0.655556,0.938458,0.985773
82,epoch81.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11n_cls6_formal_200ep\weights\epoch_082.pt,0.665278,0.937042,0.985063
83,epoch82.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11n_cls6_formal_200ep\weights\epoch_083.pt,0.658333,0.94,0.986065
84,epoch83.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11n_cls6_formal_200ep\weights\epoch_084.pt,0.627778,0.936069,0.985029
85,epoch84.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11n_cls6_formal_200ep\weights\epoch_085.pt,0.647222,0.933417,0.984658
86,epoch85.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11n_cls6_formal_200ep\weights\epoch_086.pt,0.648611,0.943222,0.987424
87,epoch86.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11n_cls6_formal_200ep\weights\epoch_087.pt,0.655556,0.937597,0.985892
88,epoch87.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11n_cls6_formal_200ep\weights\epoch_088.pt,0.665278,0.938694,0.985868
89,epoch88.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11n_cls6_formal_200ep\weights\epoch_089.pt,0.647222,0.940111,0.985351
90,epoch89.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11n_cls6_formal_200ep\weights\epoch_090.pt,0.665278,0.942528,0.986469
91,epoch90.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11n_cls6_formal_200ep\weights\epoch_091.pt,0.658333,0.943653,0.987232
92,epoch91.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11n_cls6_formal_200ep\weights\epoch_092.pt,0.652778,0.944181,0.987441
93,epoch92.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11n_cls6_formal_200ep\weights\epoch_093.pt,0.6625,0.944931,0.987645
94,epoch93.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11n_cls6_formal_200ep\weights\epoch_094.pt,0.670833,0.947333,0.988058
95,epoch94.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11n_cls6_formal_200ep\weights\epoch_095.pt,0.668056,0.939972,0.986417
96,epoch95.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11n_cls6_formal_200ep\weights\epoch_096.pt,0.661111,0.945181,0.987902
97,epoch96.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11n_cls6_formal_200ep\weights\epoch_097.pt,0.663889,0.948431,0.988748
