queue_id,canonical_work_id,title,direct_rqs,directness,relevance_class,reserve_reason
RGF5B189901FDFA8FB,CWFC898FADF0D8394DC32C,GraSS: Scalable Data Attribution with Gradient Sparsification and Sparse Projection,RQ3,D4_TRANSFER_ANALOG,TRANSFER_COMPONENT,LOWER_LEXICOGRAPHIC_PRIORITY_AFTER_EXACT_BROAD_TOTAL
RG98F74FBF27ABBB9C,CW61BEE181E836F0BD6EEE,RNMFMDA: A Microbe-Disease Association Identification Method Based on Reliable Negative Sample Selection and Logistic Matrix Factorization With Neighborhood Regularization,RQ4;RQ5;RQ7,D4_TRANSFER_ANALOG,TRANSFER_COMPONENT,LOWER_LEXICOGRAPHIC_PRIORITY_AFTER_EXACT_BROAD_TOTAL
RG65D03E0A7A3EE26B,CW627E4A210BF9A758BDFD,Distributed Self-Paced Learning in Alternating Direction Method of Multipliers,RQ1;RQ2;RQ6;RQ7,D4_TRANSFER_ANALOG,TRANSFER_COMPONENT,LOWER_LEXICOGRAPHIC_PRIORITY_AFTER_EXACT_BROAD_TOTAL
RG9BEB857C8E21735C,CW1B49CD6AE7EE1725BE39,GoodCore: Data-effective and Data-efficient Machine Learning through Coreset Selection over Incomplete Data,RQ3;RQ5;RQ7,D4_TRANSFER_ANALOG,TRANSFER_COMPONENT,LOWER_LEXICOGRAPHIC_PRIORITY_AFTER_EXACT_BROAD_TOTAL
RGEF98D28A73D260A7,CW0B498521DF8BCFE1C4AE,Implicit Gradient Alignment in Distributed and Federated Learning,RQ3;RQ7,D4_TRANSFER_ANALOG,TRANSFER_COMPONENT,LOWER_LEXICOGRAPHIC_PRIORITY_AFTER_EXACT_BROAD_TOTAL
RGB945DB92AE69F138,CW24553B89F6F804A431F8,Machine Learning for Security and Beyond: From Threat Detection to Coreset Selection for Efficient Learning,RQ4;RQ5;RQ7,D4_TRANSFER_ANALOG,TRANSFER_COMPONENT,LOWER_LEXICOGRAPHIC_PRIORITY_AFTER_EXACT_BROAD_TOTAL
RGFBDF282AB125F492,CW9C45C81E3D8F4D33F3EF,Incorporate Online Hard Example Mining and Multi-Part Combination Into Automatic Safety Helmet Wearing Detection,RQ2;RQ6,D4_TRANSFER_ANALOG,TRANSFER_COMPONENT,LOWER_LEXICOGRAPHIC_PRIORITY_AFTER_EXACT_BROAD_TOTAL
RG4BC68712C4D3BDB2,CWF31DA0193CA489B653DE,Efficient Contrastive Learning via Novel Data Augmentation and Curriculum Learning,RQ5;RQ8,D4_TRANSFER_ANALOG,TRANSFER_COMPONENT,LOWER_LEXICOGRAPHIC_PRIORITY_AFTER_EXACT_BROAD_TOTAL
RG219DA456EDAF73B8,CW6B008D92FF1555EB421E,Curriculum Learning for Heterogeneous Star Network Embedding via Deep Reinforcement Learning,RQ5;RQ8,D4_TRANSFER_ANALOG,TRANSFER_COMPONENT,LOWER_LEXICOGRAPHIC_PRIORITY_AFTER_EXACT_BROAD_TOTAL
RGB5E753B4899722C0,CW8065425CC83FB165C0D8,Local and Regional Hour-Ahead Forecasts of Solar Irradiance with Training Data Selection and Support Vector Regression,RQ1;RQ5;RQ7,D4_TRANSFER_ANALOG,TRANSFER_COMPONENT,LOWER_LEXICOGRAPHIC_PRIORITY_AFTER_EXACT_BROAD_TOTAL
RG35BDCD35FC3D6599,CWCDD3DF2E4A3C4BEFA256,Pre-training a BERT with Curriculum Learning by Increasing Block-Size of Input Text,RQ2;RQ6;RQ7,D4_TRANSFER_ANALOG,TRANSFER_COMPONENT,LOWER_LEXICOGRAPHIC_PRIORITY_AFTER_EXACT_BROAD_TOTAL
RG4D60DF0552DE16ED,CW872A55A226742280B798,Mitigating Catastrophic Forgetting in Robotic Waste Sorting: A Continual Learning Framework with Dynamic Experience Replay,RQ5;RQ6,D4_TRANSFER_ANALOG,TRANSFER_COMPONENT,LOWER_LEXICOGRAPHIC_PRIORITY_AFTER_EXACT_BROAD_TOTAL
RGEDBFDCB83BE7DF60,CW17627D5DEC803121D121,GAC: Stabilizing Asynchronous RL Training for LLMs via Gradient Alignment Control,RQ3;RQ8,D4_TRANSFER_ANALOG,TRANSFER_COMPONENT,LOWER_LEXICOGRAPHIC_PRIORITY_AFTER_EXACT_BROAD_TOTAL
