threshold,precision,recall,f1,tp,fn,fp,tn
0.999483,1.0,0.293333,0.453608,176,424,0,120
0.999457,1.0,0.293333,0.453608,176,424,0,120
0.999439,1.0,0.296667,0.457584,178,422,0,120
0.999421,1.0,0.298333,0.459564,179,421,0,120
0.999413,1.0,0.298333,0.459564,179,421,0,120
0.999401,1.0,0.301667,0.463508,181,419,0,120
0.999395,1.0,0.301667,0.463508,181,419,0,120
0.999385,1.0,0.305,0.467433,183,417,0,120
0.999383,0.994565,0.305,0.466837,183,417,1,119
0.999375,0.994595,0.306667,0.46879,184,416,1,119
0.999326,0.994624,0.308333,0.470738,185,415,1,119
0.999302,0.994652,0.31,0.472681,186,414,1,119
0.999263,0.994652,0.31,0.472681,186,414,1,119
0.999218,0.994681,0.311667,0.474619,187,413,1,119
0.999217,0.994737,0.315,0.478481,189,411,1,119
0.999184,0.994737,0.315,0.478481,189,411,1,119
0.999165,0.994764,0.316667,0.480405,190,410,1,119
0.999136,0.994792,0.318333,0.482323,191,409,1,119
0.999127,0.994845,0.321667,0.486146,193,407,1,119
0.999119,0.994872,0.323333,0.48805,194,406,1,119
0.999098,0.994898,0.325,0.48995,195,405,1,119
0.999096,0.994898,0.325,0.48995,195,405,1,119
0.999086,0.994924,0.326667,0.491844,196,404,1,119
0.999081,0.994949,0.328333,0.493734,197,403,1,119
0.999063,0.994975,0.33,0.49562,198,402,1,119
0.999062,0.995025,0.333333,0.499376,200,400,1,119
0.999053,0.995025,0.333333,0.499376,200,400,1,119
0.998994,0.995074,0.336667,0.503113,202,398,1,119
0.998978,0.995098,0.338333,0.504975,203,397,1,119
0.998947,0.995098,0.338333,0.504975,203,397,1,119
0.998942,0.995122,0.34,0.506832,204,396,1,119
0.998941,0.995169,0.343333,0.510533,206,394,1,119
0.998906,0.995169,0.343333,0.510533,206,394,1,119
0.998876,0.995215,0.346667,0.514215,208,392,1,119
0.998857,0.995238,0.348333,0.516049,209,391,1,119
0.998854,0.995238,0.348333,0.516049,209,391,1,119
0.998852,0.995283,0.351667,0.519704,211,389,1,119
0.998846,0.995305,0.353333,0.521525,212,388,1,119
0.998839,0.995327,0.355,0.523342,213,387,1,119
0.998819,0.995327,0.355,0.523342,213,387,1,119
0.998791,0.99537,0.358333,0.526961,215,385,1,119
0.998787,0.99537,0.358333,0.526961,215,385,1,119
0.998743,0.995413,0.361667,0.530562,217,383,1,119
0.998724,0.995413,0.361667,0.530562,217,383,1,119
0.998709,0.995455,0.365,0.534146,219,381,1,119
0.998701,0.995475,0.366667,0.535932,220,380,1,119
0.998688,0.995475,0.366667,0.535932,220,380,1,119
0.998661,0.995516,0.37,0.53949,222,378,1,119
0.998657,0.995536,0.371667,0.541262,223,377,1,119
0.998653,0.995536,0.371667,0.541262,223,377,1,119
0.998643,0.995556,0.373333,0.54303,224,376,1,119
0.99864,0.995575,0.375,0.544794,225,375,1,119
0.998611,0.995595,0.376667,0.546554,226,374,1,119
0.998609,0.995633,0.38,0.55006,228,372,1,119
0.998607,0.995652,0.381667,0.551807,229,371,1,119
0.9986,0.995671,0.383333,0.55355,230,370,1,119
0.998591,0.99569,0.385,0.555288,231,369,1,119
0.998587,0.995708,0.386667,0.557023,232,368,1,119
0.998582,0.995726,0.388333,0.558753,233,367,1,119
0.998547,0.995745,0.39,0.560479,234,366,1,119
0.998527,0.995745,0.39,0.560479,234,366,1,119
0.998482,0.995781,0.393333,0.563919,236,364,1,119
0.998481,0.995781,0.393333,0.563919,236,364,1,119
0.998458,0.995816,0.396667,0.567342,238,362,1,119
0.99845,0.995833,0.398333,0.569048,239,361,1,119
0.998395,0.995833,0.398333,0.569048,239,361,1,119
0.998368,0.995851,0.4,0.570749,240,360,1,119
0.998334,0.995868,0.401667,0.572447,241,359,1,119
0.998249,0.995885,0.403333,0.57414,242,358,1,119
0.998219,0.995918,0.406667,0.577515,244,356,1,119
0.998218,0.995918,0.406667,0.577515,244,356,1,119
0.99819,0.995935,0.408333,0.579196,245,355,1,119
0.998153,0.995951,0.41,0.580874,246,354,1,119
0.998148,0.995968,0.411667,0.582547,247,353,1,119
0.998142,0.995984,0.413333,0.584217,248,352,1,119
0.998109,0.996,0.415,0.585882,249,351,1,119
0.998045,0.996032,0.418333,0.589202,251,349,1,119
0.998042,0.996032,0.418333,0.589202,251,349,1,119
0.998033,0.996063,0.421667,0.592506,253,347,1,119
0.998022,0.996063,0.421667,0.592506,253,347,1,119
0.997935,0.996094,0.425,0.595794,255,345,1,119
0.997839,0.996094,0.425,0.595794,255,345,1,119
0.99783,0.996124,0.428333,0.599068,257,343,1,119
0.997819,0.996124,0.428333,0.599068,257,343,1,119
0.997794,0.996154,0.431667,0.602326,259,341,1,119
0.997786,0.996169,0.433333,0.603949,260,340,1,119
0.99772,0.996183,0.435,0.605568,261,339,1,119
0.997697,0.996198,0.436667,0.607184,262,338,1,119
0.99769,0.996212,0.438333,0.608796,263,337,1,119
0.99768,0.996212,0.438333,0.608796,263,337,1,119
0.997648,0.996226,0.44,0.610405,264,336,1,119
0.997634,0.996255,0.443333,0.61361,266,334,1,119
0.997633,0.996269,0.445,0.615207,267,333,1,119
0.997521,0.996283,0.446667,0.616801,268,332,1,119
0.997509,0.996283,0.446667,0.616801,268,332,1,119
