paper_id,title,source_path,source_bytes,source_sha256,source_format,text_path,text_bytes,text_sha256,visible_characters,extraction_tool,receipt_path,reading_credit_granted
AXA507196A9C503BF5,Active Learning on a Budget: Opposite Strategies Suit High and Low Budgets,sources/anchor_supplement_v2/AXA507196A9C503BF5.pdf,8919055,025914F5C23CAD723682BD4C11E1F4F5892EA70663DFD7B26CBD4363F0ECBDEB,PDF,discovery/anchor_text_v2/AXA507196A9C503BF5.txt,123619,7A5D15D3BB3DFB7A2EF0830F53FD3E867BB3FD39DCB2428868D7C5A36AFCDFB9,69092,POPPLER_PDFTOTEXT_LAYOUT_UTF8,discovery/anchor_text_v2/AXA507196A9C503BF5.txt.receipt.json,False
AXB4D35C6558F3F40B,Repeated Random Sampling for Minimizing the Time-to-Accuracy of Learning,sources/anchor_supplement_v2/AXB4D35C6558F3F40B.pdf,653014,926A30E30C2283C2F95C7CB6301651BE7D334C96197E94F255391D4BDC526FB1,PDF,discovery/anchor_text_v2/AXB4D35C6558F3F40B.txt,213080,6180F308EE7ED44B2DA3F87F2FE9E0379B59B5D4327FF393231AAE5F635EE721,114914,POPPLER_PDFTOTEXT_LAYOUT_UTF8,discovery/anchor_text_v2/AXB4D35C6558F3F40B.txt.receipt.json,False
RG015FC4345AA73EEF,Training Region-Based Object Detectors with Online Hard Example Mining,sources/anchor_supplement_v2/RG015FC4345AA73EEF.pdf,917701,50C03A67FDE277B2E4E0797224C2D9AEC77F0939CC9CFBB2EA24509317A4E9E6,PDF,discovery/anchor_text_v2/RG015FC4345AA73EEF.txt,68244,9AB8DF70D0B3577533B20425D12AF832E5B5A2F1770EDDA13EA59690E4559ACF,36991,POPPLER_PDFTOTEXT_LAYOUT_UTF8,discovery/anchor_text_v2/RG015FC4345AA73EEF.txt.receipt.json,False
RG08D4BDEF38C63D1C,GLISTER: Generalization based Data Subset Selection for Efficient and Robust Learning,sources/anchor_supplement_v2/RG08D4BDEF38C63D1C.pdf,797498,88ECDA6540A7E528B2CB7C7763492CFB5763A0D421580ADB50E130FB9551BAF6,PDF,discovery/anchor_text_v2/RG08D4BDEF38C63D1C.txt,65331,A59C155D4D3780F19C4BA49F636927323E2ECA850393900FE982A9710211BB78,39680,POPPLER_PDFTOTEXT_LAYOUT_UTF8,discovery/anchor_text_v2/RG08D4BDEF38C63D1C.txt.receipt.json,False
RG23777DF75AF056AE,D2 Pruning: Message Passing for Balancing Diversity and Difficulty in Data Pruning,sources/anchor_supplement_v2/RG23777DF75AF056AE.pdf,16883068,B8CD6E1E680EC7D566C2688D007B226E2C6137BD8A298CC53A6497F6083355C1,PDF,discovery/anchor_text_v2/RG23777DF75AF056AE.txt,71219,6D979033ABC411774FFF3D60557CEF7794C897320944ED436ED3A9796B74C032,53164,POPPLER_PDFTOTEXT_LAYOUT_UTF8,discovery/anchor_text_v2/RG23777DF75AF056AE.txt.receipt.json,False
RG4C05ABF685E44621,Coverage-centric Coreset Selection for High Pruning Rates,sources/anchor_supplement_v2/RG4C05ABF685E44621.pdf,615324,EE192893648C10D33A74D757A54A6DDDD1C660B547A0653061C8D0F113A81C54,PDF,discovery/anchor_text_v2/RG4C05ABF685E44621.txt,81439,61F0F56350B044BEFD05EE31EB561E560BEC6265685BDE60B05D1E700F250CA2,52515,POPPLER_PDFTOTEXT_LAYOUT_UTF8,discovery/anchor_text_v2/RG4C05ABF685E44621.txt.receipt.json,False
RG73E7B805F9AD76C7,Estimating Training Data Influence by Tracing Gradient Descent,sources/anchor_supplement_v2/RG73E7B805F9AD76C7.pdf,5307415,B31C94316EF78E2E5F28553FE7F54098E2AAFB431405471D5624D073465D09C9,PDF,discovery/anchor_text_v2/RG73E7B805F9AD76C7.txt,42079,671C63052DAC83C76B478046007BA3AB94E5F0EA3C8593C5716446D11052CCC5,32591,POPPLER_PDFTOTEXT_LAYOUT_UTF8,discovery/anchor_text_v2/RG73E7B805F9AD76C7.txt.receipt.json,False
RG9FA3C12D2147A460,A Neyman-Pearson Approach to Statistical Learning,sources/anchor_supplement_v2/RG9FA3C12D2147A460.pdf,298304,E0336648125BB19F29C5E7C2FE3A19184D1E30107F3BB593B86CFBDA65866EB3,PDF,discovery/anchor_text_v2/RG9FA3C12D2147A460.txt,98012,0EA6BDF939798FDC3A06CFA8B04F2DF4DC8CAD3ED7502D0A172E0FCD13CD095B,56911,POPPLER_PDFTOTEXT_LAYOUT_UTF8,discovery/anchor_text_v2/RG9FA3C12D2147A460.txt.receipt.json,False
RGC0D4513EFDAC52B7,An Empirical Study of Example Forgetting during Deep Neural Network Learning,sources/anchor_supplement_v2/RGC0D4513EFDAC52B7.pdf,1731989,0CEEF9C602D22B977BAF61E1E62897EE0D3D1A043E93D34129B3A448A9120C89,PDF,discovery/anchor_text_v2/RGC0D4513EFDAC52B7.txt,83138,1B0024B95D6E0BAE7A905A0C13D2A43C7772EE080EAF70F0180483CC57A5B83F,47722,POPPLER_PDFTOTEXT_LAYOUT_UTF8,discovery/anchor_text_v2/RGC0D4513EFDAC52B7.txt.receipt.json,False
RGC9DBF113F856F4FE,Dataset Cartography: Mapping and Diagnosing Datasets with Training Dynamics,sources/anchor_supplement_v2/RGC9DBF113F856F4FE.pdf,12910878,E3D807F0E007FF03A22F6B80176F4BBC9F734E7804061C61792C6FF1B97C550F,PDF,discovery/anchor_text_v2/RGC9DBF113F856F4FE.txt,133050,1EFFF214ADE8635FF648EB2E4E1FA94E08ECD62694AEB0A129127788125AFE8F,56796,POPPLER_PDFTOTEXT_LAYOUT_UTF8,discovery/anchor_text_v2/RGC9DBF113F856F4FE.txt.receipt.json,False
RGEE7171D25C56697E,Accelerating Deep Learning with Dynamic Data Pruning,sources/anchor_supplement_v2/RGEE7171D25C56697E.pdf,2909921,02C12E6E1B066F8B604D4CE4FEBA34D84ABD71E3EE153B989B401731DB633B87,PDF,discovery/anchor_text_v2/RGEE7171D25C56697E.txt,501404,348B22BA62EEFD0F973024EE4907031B75A201DDFFCD619E908C46A95B9455D5,55063,POPPLER_PDFTOTEXT_LAYOUT_UTF8,discovery/anchor_text_v2/RGEE7171D25C56697E.txt.receipt.json,False
